bus_stop_code,route_id,bus_id,meters_distance,min_arrival_time,max_arrival_time,date,X,Y
PF872,F06,SRVK-82,75,0,3,2025-10-20 12:00:04.495816,352082.414,6282473.181
PF872,F06,SPZX-77,2328,11,15,2025-10-20 12:00:04.495823,352082.414,6282473.181
PF872,F01,SPVW-99,1681,9,13,2025-10-20 12:00:04.495825,352082.414,6282473.181
PF872,F01,SPVW-92,6041,25,60,2025-10-20 12:00:04.495827,352082.414,6282473.181
PF872,F07,SPRZ-22,2061,5,7,2025-10-20 12:00:04.495828,352082.414,6282473.181
PF872,F07,SPRY-79,5797,12,18,2025-10-20 12:00:04.495830,352082.414,6282473.181
PF872,F16,SPRX-20,1605,0,5,2025-10-20 12:00:04.495831,352082.414,6282473.181
PF872,F16,SPRY-39,5420,16,22,2025-10-20 12:00:04.495832,352082.414,6282473.181
PF410,F08,SPVV-69,7932,25,60,2025-10-20 12:00:06.451733,356055.408,6285619.546
PF410,F08,SPVT-94,8630,25,60,2025-10-20 12:00:06.451739,356055.408,6285619.546
PG1720,G05,SHCV-32,6416,25,60,2025-10-20 12:00:08.479937,350805.79,6281719.287
PG1720,G05,SFGY-81,8064,25,60,2025-10-20 12:00:08.479943,350805.79,6281719.287
PG1720,G35,SDSW-86,2062,12,18,2025-10-20 12:00:08.479954,350805.79,6281719.287
PG1720,G35,SFGY-88,9226,25,60,2025-10-20 12:00:08.479955,350805.79,6281719.287
PG1720,F14,SPRX-22,1923,9,13,2025-10-20 12:00:08.479956,350805.79,6281719.287
PG1720,F14,SPRV-99,2389,10,14,2025-10-20 12:00:08.479957,350805.79,6281719.287
PG1720,233,SDSW-80,3427,25,60,2025-10-20 12:00:08.479958,350805.79,6281719.287
PG1720,233,SCRZ-33,5562,25,60,2025-10-20 12:00:08.479959,350805.79,6281719.287
PH493,H24,VGLZ-43,2913,9,11,2025-10-20 12:00:10.173365,344114.962,6293844.21
PH493,H24,VGRG-44,3632,11,15,2025-10-20 12:00:10.173370,344114.962,6293844.21
PD641,508,FDJX-79,2271,5,7,2025-10-20 12:00:11.822665,349373.282,6296876.298
PD641,508,FLXX-40,2636,7,9,2025-10-20 12:00:11.822670,349373.282,6296876.298
PE232,E12,VFHX-52,757,0,4,2025-10-20 12:00:13.636965,349702.188,6287924.616
PE232,E12,VFHW-97,5378,16,22,2025-10-20 12:00:13.636970,349702.188,6287924.616
PE232,226,VGBX-48,3765,10,14,2025-10-20 12:00:13.636971,349702.188,6287924.616
PE232,226,VFPJ-28,6628,18,26,2025-10-20 12:00:13.636972,349702.188,6287924.616
PE232,E18,BJFZ-77,1,0,3,2025-10-20 12:00:13.636973,349702.188,6287924.616
PE232,E18,BJFS-42,3932,12,16,2025-10-20 12:00:13.636974,349702.188,6287924.616
PD604,325,VFHX-46,3757,10,14,2025-10-20 12:00:15.038755,352110.71,6292668.149
PD604,325,VFJL-87,5950,17,25,2025-10-20 12:00:15.038761,352110.71,6292668.149
PD604,508,LXWR-95,862,0,3,2025-10-20 12:00:15.038763,352110.71,6292668.149
PD604,508,FLXX-53,8016,19,27,2025-10-20 12:00:15.038764,352110.71,6292668.149
PF650,F29,SPVT-82,2117,8,10,2025-10-20 12:00:16.975433,352703.203,6280614.145
PF650,204,VFRB-54,1032,0,4,2025-10-20 12:00:16.975439,352703.203,6280614.145
PF650,F02,SHXD-57,791,0,3,2025-10-20 12:00:16.975441,352703.203,6280614.145
PF650,F02,SHXD-82,1581,4,6,2025-10-20 12:00:16.975442,352703.203,6280614.145
PF650,F15,LCTG-29,1242,0,5,2025-10-20 12:00:16.975443,352703.203,6280614.145
PF650,F15,LCTG-34,4436,14,20,2025-10-20 12:00:16.975444,352703.203,6280614.145
PC458,401,PDZS-94,3211,11,15,2025-10-20 12:00:18.916615,355945.91,6300533.98
PC458,504,TBFW-77,3186,17,23,2025-10-20 12:00:18.916620,355945.91,6300533.98
PJ827,J07E,VHZZ-61,9882,17,25,2025-10-20 12:00:20.760080,327436.838,6302505.619
PB1315,B26,FLXP-81,435,0,5,2025-10-20 12:00:22.721645,343971.129,6302369.702
PB1315,B26,HVFH-32,4961,14,20,2025-10-20 12:00:22.721650,343971.129,6302369.702
PB357,B12,SKDG-96,3067,8,12,2025-10-20 12:00:26.302637,343856.552,6304856.65
PB357,272,VGBX-78,1914,7,9,2025-10-20 12:00:26.302642,343856.552,6304856.65
PB357,272,VFHW-51,961,10,14,2025-10-20 12:00:26.302643,343856.552,6304856.65
PB357,B01,SPZX-42,5071,16,22,2025-10-20 12:00:26.302644,343856.552,6304856.65
PB357,B01,SJTD-57,8311,25,60,2025-10-20 12:00:26.302645,343856.552,6304856.65
PG2085,G39,SCRZ-20,5268,12,16,2025-10-20 12:00:28.191517,340480.0,6285589.0
PG2085,G39,SHCV-42,10958,25,60,2025-10-20 12:00:28.191523,340480.0,6285589.0
PE524,325,VFJV-14,184,0,3,2025-10-20 12:00:30.235789,351697.567,6289214.424
PE524,325,VFJP-44,337,0,3,2025-10-20 12:00:30.235795,351697.567,6289214.424
PE524,323,FLXR-48,602,0,3,2025-10-20 12:00:30.235796,351697.567,6289214.424
PE524,E10,BJFS-46,4033,8,12,2025-10-20 12:00:30.235799,351697.567,6289214.424
PG1917,G18,SHXG-64,2445,7,9,2025-10-20 12:00:32.149103,350388.5,6285474.97
PG1917,G18,SHXB-36,6865,17,25,2025-10-20 12:00:32.149109,350388.5,6285474.97
PG1456,G38,THTF-59,1165,0,3,2025-10-20 12:00:34.252021,342329.428,6278368.107
PG1456,G22,THTF-64,1,0,3,2025-10-20 12:00:34.252026,342329.428,6278368.107
PG1456,G22,THTG-60,295,0,3,2025-10-20 12:00:34.252028,342329.428,6278368.107
PG1456,211C,THTF-18,1887,14,20,2025-10-20 12:00:34.252029,342329.428,6278368.107
PG1456,211C,THTF-15,1926,14,20,2025-10-20 12:00:34.252029,342329.428,6278368.107
PB1638,B15,SPGD-41,2730,9,13,2025-10-20 12:00:37.247976,348129.858,6302197.084
PB1638,B15,SPCG-62,5941,20,28,2025-10-20 12:00:37.247981,348129.858,6302197.084
PG1600,G14,CJRP-62,1226,0,3,2025-10-20 12:00:39.926709,344317.86,6277731.179
PG1600,G14,FLXX-33,2849,8,10,2025-10-20 12:00:39.926714,344317.86,6277731.179
PE764,E13,VFJV-28,1953,4,6,2025-10-20 12:00:41.831196,350473.514,6287557.192
PE764,286,SHXG-78,1545,0,4,2025-10-20 12:00:41.831202,350473.514,6287557.192
PE764,286,SHCV-28,10261,25,60,2025-10-20 12:00:41.831203,350473.514,6287557.192
PC233,502,BJFD-74,2050,6,8,2025-10-20 12:00:44.476889,357049.675,6305426.852
PC233,502,BJFC-40,2843,8,10,2025-10-20 12:00:44.476894,357049.675,6305426.852
