bus_stop_code,route_id,bus_id,meters_distance,min_arrival_time,max_arrival_time,date,X,Y
PD650,511,TBFX-22,166,0,3,2025-10-21 08:00:11.975808,349906.419,6296113.203
PD650,511,GCBC-36,3988,9,13,2025-10-21 08:00:11.975815,349906.419,6296113.203
PE1411,126,CJRC-37,1946,7,9,2025-10-21 08:00:20.518873,352565.371,6291034.755
PE1411,126,FLXT-36,5012,17,25,2025-10-21 08:00:20.518878,352565.371,6291034.755
PE1411,E17,FLXT-37,1504,6,8,2025-10-21 08:00:20.518880,352565.371,6291034.755
PE1411,118,FLXX-90,3461,12,18,2025-10-21 08:00:20.518881,352565.371,6291034.755
PE1411,118,FLXX-92,3549,13,19,2025-10-21 08:00:20.518882,352565.371,6291034.755
PI505,419,PFVJ-21,3997,12,18,2025-10-21 08:00:28.814680,335687.86,6291983.31
PI505,419,PFVK-63,6880,19,27,2025-10-21 08:00:28.814686,335687.86,6291983.31
PI505,I07,VHTB-33,554,0,3,2025-10-21 08:00:28.814687,335687.86,6291983.31
PI505,I07,VHSY-28,1006,0,4,2025-10-21 08:00:28.814688,335687.86,6291983.31
PI505,I09E,FLXZ-26,3545,12,18,2025-10-21 08:00:28.814690,335687.86,6291983.31
PI505,I09E,FLXZ-14,12911,25,60,2025-10-21 08:00:28.814691,335687.86,6291983.31
PI505,I12,FLXY-41,620,0,3,2025-10-21 08:00:28.814692,335687.86,6291983.31
PI505,I12,FLXZ-79,3215,16,22,2025-10-21 08:00:28.814694,335687.86,6291983.31
PE443,E04,VKJZ-78,601,0,5,2025-10-21 08:00:44.762161,354087.456,6287342.586
PE443,E04,VKJZ-26,1227,6,8,2025-10-21 08:00:44.762168,354087.456,6287342.586
PG171,206,LZPR-81,114,0,3,2025-10-21 08:00:59.525341,348693.947,6283537.069
PG171,206,LZPT-70,2870,11,15,2025-10-21 08:00:59.525347,348693.947,6283537.069
PG171,206C,TBZB-20,1,0,3,2025-10-21 08:00:59.525349,348693.947,6283537.069
PG171,206C,LZPT-58,2447,10,14,2025-10-21 08:00:59.525350,348693.947,6283537.069
PG987,G38,THTD-15,2060,9,13,2025-10-21 08:01:05.239315,343199.664,6278706.605
PG987,G38,THTF-19,2403,10,14,2025-10-21 08:01:05.239321,343199.664,6278706.605
PG987,G08,THTD-90,1,0,3,2025-10-21 08:01:05.239322,343199.664,6278706.605
PG987,G08,THTG-80,2090,18,26,2025-10-21 08:01:05.239324,343199.664,6278706.605
PG987,G08V,FLXV-20,2748,8,10,2025-10-21 08:01:05.239325,343199.664,6278706.605
PG987,G08V,FLXV-24,6666,25,60,2025-10-21 08:01:05.239326,343199.664,6278706.605
PC158,430,PGLD-60,1993,11,15,2025-10-21 08:01:20.046500,352166.55,6301513.68
PC158,430,PGBY-90,3837,20,28,2025-10-21 08:01:20.046505,352166.55,6301513.68
PC158,401,PDZH-79,1702,8,10,2025-10-21 08:01:20.046507,352166.55,6301513.68
PC158,401,PFYH-12,1706,8,10,2025-10-21 08:01:20.046508,352166.55,6301513.68
PC158,421,PFYG-60,1,0,3,2025-10-21 08:01:20.046509,352166.55,6301513.68
PC158,421,PFYG-98,326,0,3,2025-10-21 08:01:20.046510,352166.55,6301513.68
PC158,406,FLXV-83,306,0,3,2025-10-21 08:01:20.046511,352166.55,6301513.68
PC158,406,GCBC-69,2639,16,22,2025-10-21 08:01:20.046512,352166.55,6301513.68
PC158,407,GCBD-30,268,0,3,2025-10-21 08:01:20.046513,352166.55,6301513.68
PC158,407,GCBC-88,2527,9,13,2025-10-21 08:01:20.046514,352166.55,6301513.68
PC158,426,FDJX-70,3072,12,18,2025-10-21 08:01:20.046515,352166.55,6301513.68
PC158,426,FDJX-83,3213,13,19,2025-10-21 08:01:20.046516,352166.55,6301513.68
PH500,H24,VGRC-13,1221,7,9,2025-10-21 08:01:31.661691,347149.379,6294255.377
PH500,H24,VGRG-34,1829,10,14,2025-10-21 08:01:31.661697,347149.379,6294255.377
PH66,120,SJTD-57,983,0,3,2025-10-21 08:01:43.966005,342525.34,6289844.96
PH66,120,SPZX-55,2300,8,10,2025-10-21 08:01:43.966010,342525.34,6289844.96
PH66,121,BJFZ-53,8810,25,60,2025-10-21 08:01:43.966011,342525.34,6289844.96
PH66,121,BJFX-37,10331,25,60,2025-10-21 08:01:43.966012,342525.34,6289844.96
PH66,321,CJRZ-63,1936,8,12,2025-10-21 08:01:43.966013,342525.34,6289844.96
PH66,321,BJFS-75,7174,25,60,2025-10-21 08:01:43.966013,342525.34,6289844.96
PH66,125,FLXF-87,80,0,3,2025-10-21 08:01:43.966014,342525.34,6289844.96
PH66,125,FLXK-72,5993,20,28,2025-10-21 08:01:43.966015,342525.34,6289844.96
PH66,H03,CJRW-46,1513,5,7,2025-10-21 08:01:43.966016,342525.34,6289844.96
PH66,H03,CJRZ-73,2510,9,11,2025-10-21 08:01:43.966017,342525.34,6289844.96
PH66,345,FLXF-17,3002,9,13,2025-10-21 08:01:43.966017,342525.34,6289844.96
PH66,345,BJFX-14,4942,15,21,2025-10-21 08:01:43.966018,342525.34,6289844.96
PH66,105,SHXF-26,2031,8,10,2025-10-21 08:01:43.966019,342525.34,6289844.96
PH66,105,SJPC-44,2052,8,10,2025-10-21 08:01:43.966020,342525.34,6289844.96
PH66,105C,LXDH-96,833,0,4,2025-10-21 08:01:43.966021,342525.34,6289844.96
PH66,105C,LXDH-84,6127,19,27,2025-10-21 08:01:43.966022,342525.34,6289844.96
PE28,712,SHCW-62,2710,12,16,2025-10-21 08:01:59.175495,353531.613,6289338.541
PE28,712,SJPD-87,4837,20,28,2025-10-21 08:01:59.175501,353531.613,6289338.541
PE28,104,SKWD-79,1663,6,8,2025-10-21 08:01:59.175503,353531.613,6289338.541
PE28,104,SKWD-26,2818,11,15,2025-10-21 08:01:59.175504,353531.613,6289338.541
PE28,114,SKWD-88,2006,7,9,2025-10-21 08:01:59.175505,353531.613,6289338.541
PE28,114,SKWD-69,3114,12,18,2025-10-21 08:01:59.175506,353531.613,6289338.541
PE28,102,LBTT-13,5038,25,60,2025-10-21 08:01:59.175507,353531.613,6289338.541
PE28,102,SPZY-18,7791,25,60,2025-10-21 08:01:59.175508,353531.613,6289338.541
PE28,124,LBTT-16,2978,12,16,2025-10-21 08:01:59.175510,353531.613,6289338.541
PE28,124,SRVJ-39,3963,15,21,2025-10-21 08:01:59.175511,353531.613,6289338.541
PD173,225,SFWZ-52,2080,9,11,2025-10-21 08:02:12.194124,352565.765,6292042.589
PD173,225,SFWZ-63,2728,12,16,2025-10-21 08:02:12.194129,352565.765,6292042.589
PD173,514,FLXD-41,734,0,4,2025-10-21 08:02:12.194130,352565.765,6292042.589
PD173,712,SJPD-86,1347,6,8,2025-10-21 08:02:12.194131,352565.765,6292042.589
PD173,712,SHCW-62,5746,25,60,2025-10-21 08:02:12.194132,352565.765,6292042.589
PE1277,G01,THTH-80,662,0,3,2025-10-21 08:02:29.326892,348248.668,6288686.97
PE1277,G01,THTF-30,2666,9,11,2025-10-21 08:02:29.326898,348248.668,6288686.97
PI1149,I13,FLXX-96,669,0,3,2025-10-21 08:02:41.312641,339820.295,6293971.984
PI1149,I13,FLXX-74,1887,7,9,2025-10-21 08:02:41.312645,339820.295,6293971.984
PI25,101,PFVJ-24,1218,6,8,2025-10-21 08:02:56.191655,340437.806,6291418.327
PI25,101,PFYT-22,2943,13,19,2025-10-21 08:02:56.191660,340437.806,6291418.327
PI25,481,PGPT-15,961,4,6,2025-10-21 08:02:56.191661,340437.806,6291418.327
PI25,481,PFYS-25,2894,14,20,2025-10-21 08:02:56.191662,340437.806,6291418.327
PI25,I26,PFVD-55,6993,25,60,2025-10-21 08:02:56.191663,340437.806,6291418.327
PI25,I26,PFTW-69,11868,25,60,2025-10-21 08:02:56.191663,340437.806,6291418.327
PI25,I04,FLXF-64,2037,9,11,2025-10-21 08:02:56.191664,340437.806,6291418.327
PI25,I04,FLXF-20,4034,15,21,2025-10-21 08:02:56.191665,340437.806,6291418.327
PI25,I14,CJRW-25,23,0,3,2025-10-21 08:02:56.191666,340437.806,6291418.327
PH194,207,LZPS-23,8604,25,60,2025-10-21 08:03:10.031950,347976.433,6290230.391
PH194,207,SRTK-48,9971,25,60,2025-10-21 08:03:10.031955,347976.433,6290230.391
PH194,209,GCBF-50,4414,12,16,2025-10-21 08:03:10.031956,347976.433,6290230.391
PH194,209,SDGY-40,7773,25,60,2025-10-21 08:03:10.031957,347976.433,6290230.391
PH194,205,RWTR-11,4259,15,21,2025-10-21 08:03:10.031958,347976.433,6290230.391
PH194,205,LZRD-88,6097,21,29,2025-10-21 08:03:10.031959,347976.433,6290230.391
PH194,227,VFHK-89,4063,10,14,2025-10-21 08:03:10.031960,347976.433,6290230.391
PH194,227,VFPL-81,8235,25,60,2025-10-21 08:03:10.031960,347976.433,6290230.391
PD1163,D14,PGBY-64,41,0,3,2025-10-21 08:03:21.191750,350467.53,6293775.45
PG2075,G39,SCRZ-24,206,0,3,2025-10-21 08:03:32.999561,340307.0,6285910.0
PC478,C06,LWTK-58,1,0,3,2025-10-21 08:03:50.024098,357516.761,6301465.484
PC478,C06,LFSL-97,556,0,5,2025-10-21 08:03:50.024103,357516.761,6301465.484
PC478,C09,LDTB-93,1387,5,7,2025-10-21 08:03:50.024104,357516.761,6301465.484
PC478,C09,SGPY-23,6281,25,60,2025-10-21 08:03:50.024105,357516.761,6301465.484
PC478,C09C,SGPX-12,1203,8,12,2025-10-21 08:03:50.024105,357516.761,6301465.484
PC478,C09C,SKPH-76,3367,25,60,2025-10-21 08:03:50.024106,357516.761,6301465.484
PC478,C37,SHXF-91,995,4,6,2025-10-21 08:03:50.024107,357516.761,6301465.484
PC478,C37,SHXD-62,2561,9,13,2025-10-21 08:03:50.024108,357516.761,6301465.484
PC478,401C,SJPD-43,632,5,7,2025-10-21 08:03:50.024109,357516.761,6301465.484
PC478,401,PFBG-13,188,0,3,2025-10-21 08:03:50.024110,357516.761,6301465.484
PC478,503,VGTW-91,203,0,3,2025-10-21 08:03:50.024111,357516.761,6301465.484
PC478,503,VGVF-95,934,0,4,2025-10-21 08:03:50.024111,357516.761,6301465.484
PC478,722,STHR-80,470,0,4,2025-10-21 08:03:50.024112,357516.761,6301465.484
