bus_stop_code,route_id,bus_id,meters_distance,min_arrival_time,max_arrival_time,date,X,Y
PB780,B02,FLXR-89,1351,5,7,2025-10-13 22:00:03.686750,347137.597,6306242.507
PB780,B02,FLXR-75,7167,25,60,2025-10-13 22:00:03.686757,347137.597,6306242.507
PB780,C18,SHXD-91,533,0,3,2025-10-13 22:00:03.686760,347137.597,6306242.507
PB780,C18,SHCW-79,10112,25,60,2025-10-13 22:00:03.686761,347137.597,6306242.507
PB59,110,CJRW-81,3589,11,15,2025-10-13 22:00:05.604478,339185.941,6302557.299
PB59,110,TBFX-71,5035,15,21,2025-10-13 22:00:05.604484,339185.941,6302557.299
PB59,105,SHCY-17,1133,0,5,2025-10-13 22:00:05.604485,339185.941,6302557.299
PB59,105,SJPC-67,4283,14,20,2025-10-13 22:00:05.604486,339185.941,6302557.299
PI1326,113,FLXW-98,5352,9,13,2025-10-13 22:00:07.581389,339649.615,6290643.779
PI1326,115,FLXV-52,6917,10,14,2025-10-13 22:00:07.581394,339649.615,6290643.779
PD583,506,GCBC-58,3365,7,9,2025-10-13 22:00:09.661148,350144.396,6296352.922
PD583,506,GCBC-45,4401,9,13,2025-10-13 22:00:09.661153,350144.396,6296352.922
PD583,506V,TBFV-29,6701,12,18,2025-10-13 22:00:09.661155,350144.396,6296352.922
PD583,507,GCBD-98,353,0,3,2025-10-13 22:00:09.661155,350144.396,6296352.922
PD583,507,FLXV-73,4652,9,13,2025-10-13 22:00:09.661156,350144.396,6296352.922
PD583,510,TBFX-50,135,0,3,2025-10-13 22:00:09.661157,350144.396,6296352.922
PD583,510,GCBC-36,2102,5,7,2025-10-13 22:00:09.661158,350144.396,6296352.922
PD583,516,GCBC-96,2600,7,9,2025-10-13 22:00:09.661159,350144.396,6296352.922
PD583,516,TBFX-24,2870,7,9,2025-10-13 22:00:09.661160,350144.396,6296352.922
PJ964,J13,TBFW-17,1766,5,7,2025-10-13 22:00:11.154932,338888.33,6300871.269
PJ964,J13,BJFB-24,3032,8,10,2025-10-13 22:00:11.154937,338888.33,6300871.269
PJ964,J13C,TBFT-59,732,0,3,2025-10-13 22:00:11.154938,338888.33,6300871.269
PJ964,J13C,PFXB-92,2287,6,8,2025-10-13 22:00:11.154939,338888.33,6300871.269
PD855,D05,SPBR-29,5692,16,22,2025-10-13 22:00:12.488867,354378.801,6295108.538
PD855,D05,PGBY-89,6652,18,26,2025-10-13 22:00:12.488874,354378.801,6295108.538
PF455,210V,VFPT-63,3243,9,13,2025-10-13 22:00:14.459506,354869.263,6283355.269
PF455,210V,VFPB-85,5050,17,25,2025-10-13 22:00:14.459512,354869.263,6283355.269
PF455,F06,LBTT-25,7213,18,26,2025-10-13 22:00:14.459513,354869.263,6283355.269
PF455,F06,SPZY-48,7591,20,28,2025-10-13 22:00:14.459514,354869.263,6283355.269
PF455,F09,SPZY-49,1327,0,5,2025-10-13 22:00:14.459515,354869.263,6283355.269
PB90,109,FLXK-33,3747,10,14,2025-10-13 22:00:16.628364,339111.482,6302911.886
PB90,109,FDJX-66,4234,11,15,2025-10-13 22:00:16.628369,339111.482,6302911.886
PB90,110,FLXG-18,2725,8,10,2025-10-13 22:00:16.628370,339111.482,6302911.886
PB90,105,SHXG-32,2718,8,10,2025-10-13 22:00:16.628372,339111.482,6302911.886
PB90,105,SJPD-91,3703,11,15,2025-10-13 22:00:16.628373,339111.482,6302911.886
PD1215,D15,SVDC-55,4416,25,60,2025-10-13 22:00:18.827230,357671.211,6295869.358
PD1215,D15,SVDD-51,5696,25,60,2025-10-13 22:00:18.827235,357671.211,6295869.358
PG448,G12,SHCV-48,920,5,7,2025-10-13 22:00:20.692515,344933.841,6290390.651
PA31,509,FLXC-47,2797,9,11,2025-10-13 22:00:22.754466,346057.491,6297432.382
PA31,201,GCBB-95,1044,0,3,2025-10-13 22:00:22.754472,346057.491,6297432.382
PA31,201,GCBB-71,5243,16,22,2025-10-13 22:00:22.754473,346057.491,6297432.382
PA31,113,FLXZ-66,623,0,3,2025-10-13 22:00:22.754474,346057.491,6297432.382
PG156,G23,SFWB-96,326,0,3,2025-10-13 22:00:24.738061,346104.64,6282595.904
PG156,302,BJFX-40,136,0,3,2025-10-13 22:00:24.738066,346104.64,6282595.904
PG156,302,BJFT-63,1206,0,5,2025-10-13 22:00:24.738068,346104.64,6282595.904
PG1128,G11,THTF-27,172,0,3,2025-10-13 22:00:26.670470,348273.242,6285329.19
PG1128,G11,THTG-89,396,0,3,2025-10-13 22:00:26.670476,348273.242,6285329.19
PG82,G09,SFGY-19,3164,9,13,2025-10-13 22:00:28.583829,341000.679,6282916.683
PG82,G09,SFPF-94,3286,9,13,2025-10-13 22:00:28.583834,341000.679,6282916.683
PG82,201E,VFHL-62,2500,6,8,2025-10-13 22:00:28.583835,341000.679,6282916.683
