bus_stop_code,route_id,bus_id,meters_distance,min_arrival_time,max_arrival_time,date,X,Y
PB1733,B12C,SKDH-97,178,0,3,2025-10-16 08:00:19.788630,341193.65,6311307.8
PB1733,B12C,SKDG-98,6594,25,60,2025-10-16 08:00:19.788638,341193.65,6311307.8
PB1733,B42,FLXT-23,54,0,3,2025-10-16 08:00:19.788641,341193.65,6311307.8
PI603,423,PFYR-78,439,0,3,2025-10-16 08:00:30.766400,338127.151,6292975.72
PI603,423,PFVC-40,5041,16,22,2025-10-16 08:00:30.766406,338127.151,6292975.72
PI603,I10,FLXJ-23,458,0,3,2025-10-16 08:00:30.766408,338127.151,6292975.72
PI603,I10,FLXD-88,2249,8,10,2025-10-16 08:00:30.766409,338127.151,6292975.72
PI603,509,FLXD-46,1353,5,7,2025-10-16 08:00:30.766410,338127.151,6292975.72
PI603,509,FDJX-72,6110,20,28,2025-10-16 08:00:30.766411,338127.151,6292975.72
PG181,209,LZPT-73,1136,0,4,2025-10-16 08:00:45.249543,349089.642,6279644.01
PG181,209,GCBF-48,3542,10,14,2025-10-16 08:00:45.249548,349089.642,6279644.01
PG181,209C,SDGY-24,259,0,3,2025-10-16 08:00:45.249550,349089.642,6279644.01
PG181,209C,LZPT-45,3080,8,10,2025-10-16 08:00:45.249550,349089.642,6279644.01
PG181,207,LZPW-14,1,0,3,2025-10-16 08:00:45.249551,349089.642,6279644.01
PG181,207,SRTK-36,3112,9,13,2025-10-16 08:00:45.249552,349089.642,6279644.01
PG181,207C,LZPG-22,6408,18,26,2025-10-16 08:00:45.249553,349089.642,6279644.01
PG181,207C,TBZB-24,11169,25,60,2025-10-16 08:00:45.249554,349089.642,6279644.01
PG181,207E,SFWZ-80,3446,9,11,2025-10-16 08:00:45.249555,349089.642,6279644.01
PG181,207E,LZPW-11,6982,16,22,2025-10-16 08:00:45.249555,349089.642,6279644.01
PJ331,503,VGTZ-70,1,0,3,2025-10-16 08:00:54.438014,339777.749,6299730.726
PJ331,503,VHLV-17,330,0,3,2025-10-16 08:00:54.438019,339777.749,6299730.726
PJ331,504,PFXC-10,255,0,3,2025-10-16 08:00:54.438021,339777.749,6299730.726
PJ331,504,GCBD-35,689,0,4,2025-10-16 08:00:54.438022,339777.749,6299730.726
PJ331,507,PFXB-75,703,0,5,2025-10-16 08:00:54.438023,339777.749,6299730.726
PJ331,507,PFXB-88,1321,0,5,2025-10-16 08:00:54.438024,339777.749,6299730.726
PJ331,518,TBFT-67,603,0,3,2025-10-16 08:00:54.438025,339777.749,6299730.726
PJ331,518,TBFW-85,659,0,3,2025-10-16 08:00:54.438027,339777.749,6299730.726
PJ676,J02,VHXJ-81,3098,8,12,2025-10-16 08:01:21.521893,337438.389,6298959.594
PJ676,J02,VHXJ-20,8166,25,60,2025-10-16 08:01:21.521899,337438.389,6298959.594
PJ676,J18,VHZX-91,212,0,3,2025-10-16 08:01:21.521901,337438.389,6298959.594
