bus_stop_code,route_id,bus_id,meters_distance,min_arrival_time,max_arrival_time,date,X,Y
PH1450,H14,FLXR-25,1070,0,3,2025-11-05 06:00:22.589318,349074.44,6290570.31
PH1450,H14,FLXR-52,3075,8,12,2025-11-05 06:00:22.589325,349074.44,6290570.31
PG1439,G08v,FLXP-22,3237,8,12,2025-11-05 06:01:08.431194,344727.972,6282810.789
PG1439,G08v,FLXV-30,7071,20,24,2025-11-05 06:01:08.431199,344727.972,6282810.789
PG1439,G23,VJYJ-35,726,0,2,2025-11-05 06:01:08.431200,344727.972,6282810.789
PG1439,G23,SFVZ-49,2183,5,9,2025-11-05 06:01:08.431201,344727.972,6282810.789
PD288,513,SRTK-38,6095,17,21,2025-11-05 06:01:33.182863,354782.738,6296351.492
PD288,513,SRTG-98,15555,49,60,2025-11-05 06:01:33.182869,354782.738,6296351.492
PD288,D09,SVDD-58,5730,16,20,2025-11-05 06:01:33.182871,354782.738,6296351.492
PD288,D09,SVDC-28,11874,37,60,2025-11-05 06:01:33.182872,354782.738,6296351.492
PJ675,J02,VHXJ-22,9872,31,60,2025-11-05 06:02:05.232696,337782.918,6298983.131
PJ675,J02,VHXJ-81,15298,48,60,2025-11-05 06:02:05.232702,337782.918,6298983.131
PJ675,541N,PFXC-31,9351,30,60,2025-11-05 06:02:05.232704,337782.918,6298983.131
PG159,203,LZPT-63,321,0,3,2025-11-05 06:02:44.232262,345774.416,6283134.881
PG159,203e,VJKV-14,353,0,3,2025-11-05 06:02:44.232268,345774.416,6283134.881
PG159,G08v,FLXV-18,562,0,2,2025-11-05 06:02:44.232269,345774.416,6283134.881
PG159,G08v,FLXV-23,3323,8,12,2025-11-05 06:02:44.232270,345774.416,6283134.881
PG159,G07,THTF-99,1027,0,3,2025-11-05 06:02:44.232271,345774.416,6283134.881
PG159,G08,THTF-28,1712,3,7,2025-11-05 06:02:44.232272,345774.416,6283134.881
PG159,G08,THTH-13,1513,3,7,2025-11-05 06:02:44.232274,345774.416,6283134.881
PG159,G05,SDSW-61,3725,10,14,2025-11-05 06:02:44.232275,345774.416,6283134.881
PG159,G35,SFPF-89,548,0,2,2025-11-05 06:02:44.232276,345774.416,6283134.881
PG159,228,THTF-77,261,0,3,2025-11-05 06:02:44.232277,345774.416,6283134.881
PG159,228,THTD-29,1026,0,3,2025-11-05 06:02:44.232278,345774.416,6283134.881
PG159,203N,SFWB-24,3336,9,13,2025-11-05 06:02:44.232279,345774.416,6283134.881
PG159,G24,CJRL-65,1273,0,4,2025-11-05 06:02:44.232280,345774.416,6283134.881
PG159,G24,CJRP-16,3864,10,14,2025-11-05 06:02:44.232281,345774.416,6283134.881
PB847,B26,FLXP-68,3149,8,12,2025-11-05 06:03:01.924350,343512.43,6303804.944
PB847,214,GCBB-26,2767,7,11,2025-11-05 06:03:01.924355,343512.43,6303804.944
PD1135,D13,BJFW-45,3939,10,14,2025-11-05 06:03:43.108096,349884.946,6295931.861
PD1135,D13,CJRB-19,8454,27,60,2025-11-05 06:03:43.108101,349884.946,6295931.861
PG150,229,VJKG-36,3895,10,14,2025-11-05 06:04:00.258179,345869.441,6283665.917
PG150,229,SFWZ-33,9786,31,60,2025-11-05 06:04:00.258184,345869.441,6283665.917
PG150,G08v,FLXV-30,4263,11,15,2025-11-05 06:04:00.258185,345869.441,6283665.917
PG150,228,THTC-29,3187,8,12,2025-11-05 06:04:00.258186,345869.441,6283665.917
PG150,G08,THTG-95,2804,7,11,2025-11-05 06:04:00.258187,345869.441,6283665.917
PG150,203,LZPS-20,7290,21,25,2025-11-05 06:04:00.258188,345869.441,6283665.917
PG150,203,LZPT-60,8300,26,60,2025-11-05 06:04:00.258188,345869.441,6283665.917
PG150,203c,VJKY-18,4055,11,15,2025-11-05 06:04:00.258189,345869.441,6283665.917
PG150,203c,VJZB-57,5000,14,18,2025-11-05 06:04:00.258190,345869.441,6283665.917
PG150,203N,VJKF-46,702,0,2,2025-11-05 06:04:00.258191,345869.441,6283665.917
PG150,203N,SFWZ-58,5113,14,18,2025-11-05 06:04:00.258192,345869.441,6283665.917
PC556,C06,SKDF-79,5198,14,18,2025-11-05 06:05:11.264183,352599.9,6300489.304
PC556,503,LZPH-14,4624,13,17,2025-11-05 06:05:11.264189,352599.9,6300489.304
PC556,503,VGVC-45,5617,16,20,2025-11-05 06:05:11.264190,352599.9,6300489.304
PC556,517,VHXJ-50,5441,15,19,2025-11-05 06:05:11.264191,352599.9,6300489.304
PD1349,505,VHZY-61,2540,6,10,2025-11-05 06:05:29.025112,353764.446,6295989.637
PD1349,505,VJJR-66,4667,13,17,2025-11-05 06:05:29.025117,353764.446,6295989.637
PH762,E04,VKJY-89,703,0,2,2025-11-05 06:05:50.281926,348657.259,6291696.526
PH762,E04,VKJX-77,4223,11,15,2025-11-05 06:05:50.281932,348657.259,6291696.526
PG669,G01,THTF-84,964,0,3,2025-11-05 06:06:10.267002,345755.341,6289103.671
PG669,G01,THTF-25,3375,9,13,2025-11-05 06:06:10.267007,345755.341,6289103.671
PG669,G01c,THTD-86,2197,5,9,2025-11-05 06:06:10.267008,345755.341,6289103.671
PF389,F07,SPRY-43,3632,9,13,2025-11-05 06:06:30.664456,353997.919,6281766.449
PF389,F10c,SRVH-19,0,0,3,2025-11-05 06:06:30.664461,353997.919,6281766.449
PG1333,G18,SFPG-39,2248,5,9,2025-11-05 06:06:41.713063,348022.09,6287888.77
PG1333,G18,SHXB-22,5155,14,18,2025-11-05 06:06:41.713069,348022.09,6287888.77
PI1316,I18,VHSY-42,4258,11,15,2025-11-05 06:07:01.933647,334777.127,6290575.661
PI1316,I18,VHSY-28,10555,33,60,2025-11-05 06:07:01.933652,334777.127,6290575.661
PB1586,101,PFVC-40,255,0,3,2025-11-05 06:07:15.651889,344453.603,6303129.418
PB1586,101,PGPS-92,3316,8,12,2025-11-05 06:07:15.651895,344453.603,6303129.418
PB1586,107,PGRZ-93,437,0,3,2025-11-05 06:07:15.651896,344453.603,6303129.418
PB1586,107,PGBY-46,1174,0,4,2025-11-05 06:07:15.651898,344453.603,6303129.418
PC319,502,GCBC-95,3681,10,14,2025-11-05 06:07:31.243922,350135.611,6301085.955
PC319,502,TBFT-64,5477,15,19,2025-11-05 06:07:31.243927,350135.611,6301085.955
PC319,542,TBFX-21,13972,44,60,2025-11-05 06:07:31.243929,350135.611,6301085.955
PC319,542,TBFW-75,16031,51,60,2025-11-05 06:07:31.243931,350135.611,6301085.955
PC319,546e,TBFW-86,13967,44,60,2025-11-05 06:07:31.243932,350135.611,6301085.955
PC319,546e,GCBC-44,19160,61,60,2025-11-05 06:07:31.243933,350135.611,6301085.955
PC319,409,PGLD-43,5097,14,18,2025-11-05 06:07:31.243934,350135.611,6301085.955
PC319,409,PGTV-18,6302,18,22,2025-11-05 06:07:31.243935,350135.611,6301085.955
PB245,B36,STHR-18,0,0,3,2025-11-05 06:07:48.701126,344085.47,6307472.151
PB245,214,GCBB-48,10073,32,60,2025-11-05 06:07:48.701130,344085.47,6307472.151
PB245,214,GCBB-12,12435,39,60,2025-11-05 06:07:48.701131,344085.47,6307472.151
PB1265,B21,SKDG-81,4076,11,15,2025-11-05 06:08:29.687919,345869.833,6302829.462
PB1265,B21,LDTB-99,6999,20,24,2025-11-05 06:08:29.687924,345869.833,6302829.462
PH326,119,BJFT-17,1688,3,7,2025-11-05 06:08:42.946327,343852.466,6291696.413
PH326,119,CJRX-41,2895,7,11,2025-11-05 06:08:42.946335,343852.466,6291696.413
PH326,H05,VFPG-48,1041,0,3,2025-11-05 06:08:42.946336,343852.466,6291696.413
PH326,345,CJRW-14,3114,8,12,2025-11-05 06:08:42.946337,343852.466,6291696.413
PH326,345,FLXF-17,3416,9,13,2025-11-05 06:08:42.946338,343852.466,6291696.413
PJ361,504,GCBC-79,8795,28,60,2025-11-05 06:09:03.104957,338478.44,6299738.14
PJ361,504,TBFW-70,12722,40,60,2025-11-05 06:09:03.104961,338478.44,6299738.14
PJ361,507,PFXB-88,10818,34,60,2025-11-05 06:09:03.104963,338478.44,6299738.14
PJ361,507,GCBD-23,13946,44,60,2025-11-05 06:09:03.104964,338478.44,6299738.14
PJ361,517,VHXJ-50,18922,60,60,2025-11-05 06:09:03.104965,338478.44,6299738.14
PJ361,518,GCBD-47,1635,3,7,2025-11-05 06:09:03.104966,338478.44,6299738.14
