bus_stop_code,route_id,bus_id,meters_distance,min_arrival_time,max_arrival_time,date,X,Y
PG664,G01,THTF-62,3529,9,13,2025-11-04 22:00:03.843258,346948.338,6288891.446
PG664,G01,THTH-29,6725,19,23,2025-11-04 22:00:03.843266,346948.338,6288891.446
PB1705,116,HPFJ-99,7089,20,24,2025-11-04 22:00:05.863474,349103.724,6305406.994
PB1705,116,FLXJ-41,8453,27,60,2025-11-04 22:00:05.863479,349103.724,6305406.994
PB1705,C18,SHXG-90,4510,12,16,2025-11-04 22:00:05.863480,349103.724,6305406.994
PB1705,C18,SHCW-75,6553,19,23,2025-11-04 22:00:05.863481,349103.724,6305406.994
PB1705,B05,SPCG-36,3065,8,12,2025-11-04 22:00:05.863482,349103.724,6305406.994
PB1705,117,SPBL-98,6547,19,23,2025-11-04 22:00:05.863483,349103.724,6305406.994
PB1705,117,PGLD-64,10227,32,60,2025-11-04 22:00:05.863483,349103.724,6305406.994
PB174,B02,FLXR-74,1176,0,4,2025-11-04 22:00:07.904987,348235.986,6302728.446
PB174,B02,FLXR-89,7124,20,24,2025-11-04 22:00:07.904994,348235.986,6302728.446
PB174,116,HPFJ-99,3052,8,12,2025-11-04 22:00:07.904995,348235.986,6302728.446
PB174,116,FLXJ-41,4416,12,16,2025-11-04 22:00:07.904997,348235.986,6302728.446
PF646,F15,SRVL-35,1827,4,8,2025-11-04 22:00:09.923038,353227.695,6280302.857
PF646,F15,SRVG-70,5630,16,20,2025-11-04 22:00:09.923044,353227.695,6280302.857
PF646,F25,STHF-56,1893,4,8,2025-11-04 22:00:09.923045,353227.695,6280302.857
PF646,F25,SRVJ-78,4744,13,17,2025-11-04 22:00:09.923046,353227.695,6280302.857
PF646,F29,SPVW-61,3264,8,12,2025-11-04 22:00:09.923047,353227.695,6280302.857
PC302,C09,SGPY-58,1360,0,4,2025-11-04 22:00:11.906362,357141.792,6302199.705
PC302,C09,SGPY-23,5959,17,21,2025-11-04 22:00:11.906367,357141.792,6302199.705
PC302,C37,SHXF-17,1531,3,7,2025-11-04 22:00:11.906369,357141.792,6302199.705
PC302,407,TBFX-15,1398,0,4,2025-11-04 22:00:11.906370,357141.792,6302199.705
PC302,407,TBFW-71,9616,30,60,2025-11-04 22:00:11.906371,357141.792,6302199.705
PF1029,F25,SRVF-90,1837,4,8,2025-11-04 22:00:13.940974,354024.48,6284804.39
PF1029,F25,STHC-95,3018,8,12,2025-11-04 22:00:13.940979,354024.48,6284804.39
PB1954,201,GCBB-87,1205,0,4,2025-11-04 22:00:15.953640,345983.043,6301204.549
PB1954,201,GCBB-23,1220,0,4,2025-11-04 22:00:15.953646,345983.043,6301204.549
PB1954,B25,FLXS-43,2512,6,10,2025-11-04 22:00:15.953647,345983.043,6301204.549
PB1954,B25,FLXP-73,9026,29,60,2025-11-04 22:00:15.953648,345983.043,6301204.549
PB1954,B26,FLXP-77,2628,6,10,2025-11-04 22:00:15.953649,345983.043,6301204.549
PB1954,B26,FLXP-79,6629,19,23,2025-11-04 22:00:15.953649,345983.043,6301204.549
PB1954,B27,FLXT-73,1470,3,7,2025-11-04 22:00:15.953650,345983.043,6301204.549
PB1954,230,GCBB-20,11,0,3,2025-11-04 22:00:15.953651,345983.043,6301204.549
PB1954,230,GCBB-74,8958,28,60,2025-11-04 22:00:15.953652,345983.043,6301204.549
PB1954,308,FLXH-38,788,0,2,2025-11-04 22:00:15.953653,345983.043,6301204.549
PB1954,B14,FLXT-46,238,0,3,2025-11-04 22:00:15.953654,345983.043,6301204.549
PB1954,B14,FLXJ-64,6195,18,22,2025-11-04 22:00:15.953655,345983.043,6301204.549
PB855,B04,SHXG-94,544,0,2,2025-11-04 22:00:18.017945,344885.788,6302345.112
PB855,214,GCBB-46,2940,7,11,2025-11-04 22:00:18.017950,344885.788,6302345.112
