bus_stop_code,route_id,bus_id,meters_distance,min_arrival_time,max_arrival_time,date,X,Y
PD80,114,SKVD-75,3973,8,14,2025-10-20 06:00:05.053433,351305.96,6296735.34
PD80,114,SKWD-38,9462,20,28,2025-10-20 06:00:05.053440,351305.96,6296735.34
PG110,203E,SFWB-44,436,0,3,2025-10-20 06:00:07.372565,348408.132,6285643.543
PG110,203E,SFWB-98,2366,0,8,2025-10-20 06:00:07.372571,348408.132,6285643.543
PG110,G04,SHXB-33,2887,0,10,2025-10-20 06:00:07.372573,348408.132,6285643.543
PG110,G11,THTD-81,4667,10,16,2025-10-20 06:00:07.372574,348408.132,6285643.543
PG110,G11,THTD-93,12439,29,39,2025-10-20 06:00:07.372576,348408.132,6285643.543
PG110,G18,SHXB-38,2892,0,8,2025-10-20 06:00:07.372577,348408.132,6285643.543
PG110,G18,SFPF-73,7651,18,26,2025-10-20 06:00:07.372578,348408.132,6285643.543
PG110,203,LXWT-94,671,0,3,2025-10-20 06:00:07.372579,348408.132,6285643.543
PG110,203,LZPT-67,1721,0,3,2025-10-20 06:00:07.372580,348408.132,6285643.543
PG110,203C,LXWT-84,2547,0,8,2025-10-20 06:00:07.372581,348408.132,6285643.543
PG110,203C,SVPX-54,5947,13,19,2025-10-20 06:00:07.372582,348408.132,6285643.543
PI1626,115C,FLXW-39,1161,0,3,2025-10-20 06:00:08.925084,341963.405,6293153.994
PI1626,115C,PFXB-92,8738,16,24,2025-10-20 06:00:08.925089,341963.405,6293153.994
PI1626,109,GCBC-99,1991,0,6,2025-10-20 06:00:08.925090,341963.405,6293153.994
PI1626,109,PFXC-22,6241,12,18,2025-10-20 06:00:08.925091,341963.405,6293153.994
PI1626,108,PFVD-37,2571,0,8,2025-10-20 06:00:08.925092,341963.405,6293153.994
PI1626,108,PFVH-97,7074,15,21,2025-10-20 06:00:08.925093,341963.405,6293153.994
PI1626,I26,PFVD-58,3122,0,8,2025-10-20 06:00:08.925093,341963.405,6293153.994
PI1626,I26,PFVD-52,8479,18,26,2025-10-20 06:00:08.925094,341963.405,6293153.994
PI1626,I25,FLXK-99,2278,0,8,2025-10-20 06:00:08.925095,341963.405,6293153.994
PI1626,I25,FLXL-25,12813,45,60,2025-10-20 06:00:08.925096,341963.405,6293153.994
PI1626,113,FLXZ-58,6962,11,17,2025-10-20 06:00:08.925097,341963.405,6293153.994
PI1626,113,FLXW-82,8605,14,20,2025-10-20 06:00:08.925097,341963.405,6293153.994
PI1626,113C,FLXW-66,8669,15,21,2025-10-20 06:00:08.925098,341963.405,6293153.994
PI1626,113C,FLXY-60,13324,25,35,2025-10-20 06:00:08.925099,341963.405,6293153.994
PI1626,115,TBFR-19,570,0,3,2025-10-20 06:00:08.925100,341963.405,6293153.994
PI1626,115,TBFT-58,8221,13,19,2025-10-20 06:00:08.925101,341963.405,6293153.994
PD51,103,SPBF-46,164,0,3,2025-10-20 06:00:11.011257,350779.906,6297789.869
PD51,103,SPBS-65,1822,0,6,2025-10-20 06:00:11.011264,350779.906,6297789.869
PD51,117,PFYC-45,1383,0,8,2025-10-20 06:00:11.011265,350779.906,6297789.869
PD51,117,SPBL-88,6363,45,60,2025-10-20 06:00:11.011267,350779.906,6297789.869
PG288,227,VFPJ-53,7332,16,22,2025-10-20 06:00:12.945120,347727.551,6289871.89
PG288,227,VFPS-87,14199,35,47,2025-10-20 06:00:12.945126,347727.551,6289871.89
PG288,G11,THTG-75,3128,7,13,2025-10-20 06:00:12.945127,347727.551,6289871.89
PG288,G11,THTD-81,10108,25,35,2025-10-20 06:00:12.945128,347727.551,6289871.89
PF965,F16,SPRW-53,1172,0,6,2025-10-20 06:00:14.630873,351337.967,6281742.598
PF965,F16,SPRZ-12,6456,16,22,2025-10-20 06:00:14.630878,351337.967,6281742.598
PF965,F27,SPRY-50,1,0,3,2025-10-20 06:00:14.630880,351337.967,6281742.598
PF965,F27,SPRY-43,7647,18,26,2025-10-20 06:00:14.630881,351337.967,6281742.598
PI418,401,PFTF-82,1019,0,3,2025-10-20 06:00:16.819910,337508.689,6293452.926
PI418,401,PGBB-56,15808,32,42,2025-10-20 06:00:16.819915,337508.689,6293452.926
PI418,405,PFYG-63,963,0,3,2025-10-20 06:00:16.819916,337508.689,6293452.926
PI418,405,PDZS-75,16030,34,44,2025-10-20 06:00:16.819917,337508.689,6293452.926
PI418,432N,PFVC-45,16189,30,40,2025-10-20 06:00:16.819918,337508.689,6293452.926
PI418,I08,FLXW-88,3244,0,8,2025-10-20 06:00:16.819919,337508.689,6293452.926
PI418,I09,GCBF-40,6647,13,19,2025-10-20 06:00:16.819920,337508.689,6293452.926
PI418,I09,RWRP-57,7011,14,20,2025-10-20 06:00:16.819920,337508.689,6293452.926
PI418,506,TBFR-30,93,0,3,2025-10-20 06:00:16.819921,337508.689,6293452.926
PI418,506,PFXC-34,23,0,3,2025-10-20 06:00:16.819930,337508.689,6293452.926
