bus_stop_code,route_id,bus_id,meters_distance,min_arrival_time,max_arrival_time,date,X,Y
PF1024,124,SRVJ-64,5421,19,27,2025-10-28 06:00:04.906439,351871.01,6278113.6
PF1024,124,TXZH-40,14094,45,60,2025-10-28 06:00:04.906446,351871.01,6278113.6
PE884,224,VFPF-61,1451,0,6,2025-10-28 06:00:07.472601,351196.781,6288198.388
PE884,224,VFPP-11,4684,10,16,2025-10-28 06:00:07.472609,351196.781,6288198.388
PG605,F06,SPZX-84,456,0,3,2025-10-28 06:00:15.635775,350389.36,6282096.797
PG605,F06,TXZH-47,3648,14,20,2025-10-28 06:00:15.635780,350389.36,6282096.797
PG605,233,SHCV-27,650,0,6,2025-10-28 06:00:15.635782,350389.36,6282096.797
PG605,G05,SHCV-30,1,0,3,2025-10-28 06:00:15.635783,350389.36,6282096.797
PG1061,G22,THTG-98,2036,0,6,2025-10-28 06:00:17.721329,342144.917,6283916.167
PG1061,G22,THTH-35,4033,9,15,2025-10-28 06:00:17.721334,342144.917,6283916.167
PG1061,G09,FLXH-44,3415,10,16,2025-10-28 06:00:17.721336,342144.917,6283916.167
PG1061,G09,HRPF-40,6219,16,22,2025-10-28 06:00:17.721337,342144.917,6283916.167
PF106,F27,SPRY-32,4697,11,17,2025-10-28 06:00:20.510715,352855.237,6283316.217
PF106,F27,SPRY-45,5160,12,18,2025-10-28 06:00:20.510719,352855.237,6283316.217
PF106,E16,VFJD-70,294,0,3,2025-10-28 06:00:20.510720,352855.237,6283316.217
PF106,E16,VFJT-51,3827,9,15,2025-10-28 06:00:20.510721,352855.237,6283316.217
PF106,F06,TXZH-47,258,0,3,2025-10-28 06:00:20.510722,352855.237,6283316.217
PF106,F06,SRVL-81,4054,9,15,2025-10-28 06:00:20.510723,352855.237,6283316.217
PF106,F01,SPVW-98,1856,0,3,2025-10-28 06:00:20.510724,352855.237,6283316.217
PF106,F01,SPVX-11,9466,20,28,2025-10-28 06:00:20.510725,352855.237,6283316.217
PF106,F08,SPVV-65,6721,17,23,2025-10-28 06:00:20.510726,352855.237,6283316.217
PF106,F08,SRPJ-92,10374,25,35,2025-10-28 06:00:20.510727,352855.237,6283316.217
PF106,F14,SPRY-91,3642,13,19,2025-10-28 06:00:20.510728,352855.237,6283316.217
PF106,F14,SPRW-12,6167,16,24,2025-10-28 06:00:20.510728,352855.237,6283316.217
PF106,205C,VFRF-85,3033,0,8,2025-10-28 06:00:20.510729,352855.237,6283316.217
PF106,205C,VGBW-48,4079,7,13,2025-10-28 06:00:20.510730,352855.237,6283316.217
PF106,F05,SPZX-75,307,0,3,2025-10-28 06:00:20.510739,352855.237,6283316.217
PF106,F05,SPZX-66,865,0,6,2025-10-28 06:00:20.510740,352855.237,6283316.217
