bus_stop_code,route_id,bus_id,meters_distance,min_arrival_time,max_arrival_time,date,X,Y
PH803,H03,CJRW-19,2414,6,10,2025-11-01 10:00:04.585026,342528.711,6288327.266
PH803,H03,FLXR-39,7215,21,25,2025-11-01 10:00:04.585032,342528.711,6288327.266
PH803,H12,BJFT-25,5790,16,20,2025-11-01 10:00:04.585035,342528.711,6288327.266
PH803,G09,SFGY-23,0,0,3,2025-11-01 10:00:04.585037,342528.711,6288327.266
PH803,G09,FLXK-21,1890,4,8,2025-11-01 10:00:04.585038,342528.711,6288327.266
PH803,119,FLXF-98,2838,7,11,2025-11-01 10:00:04.585040,342528.711,6288327.266
PH803,119,CJRY-80,8842,28,60,2025-11-01 10:00:04.585041,342528.711,6288327.266
PD794,510,TBFX-10,6805,19,23,2025-11-01 10:00:06.647864,357888.256,6295099.416
PD794,510,PFWZ-54,12173,38,60,2025-11-01 10:00:06.647869,357888.256,6295099.416
PD794,516,PFXB-11,1178,0,4,2025-11-01 10:00:06.647870,357888.256,6295099.416
PD794,516,FLXW-43,1178,0,4,2025-11-01 10:00:06.647871,357888.256,6295099.416
PD794,D03,SVDC-74,1792,4,8,2025-11-01 10:00:06.647873,357888.256,6295099.416
PD794,D03,SVDD-82,8933,28,60,2025-11-01 10:00:06.647874,357888.256,6295099.416
PD794,D07,SPBF-24,380,0,3,2025-11-01 10:00:06.647875,357888.256,6295099.416
PD794,D07,STYX-82,8004,23,27,2025-11-01 10:00:06.647876,357888.256,6295099.416
PD794,D15,SVDF-60,4011,11,15,2025-11-01 10:00:06.647877,357888.256,6295099.416
PD794,D15,STWB-31,8614,27,60,2025-11-01 10:00:06.647878,357888.256,6295099.416
PD794,505,VJBC-70,9599,30,60,2025-11-01 10:00:06.647879,357888.256,6295099.416
PD794,505,VHZX-40,16557,52,60,2025-11-01 10:00:06.647880,357888.256,6295099.416
PE329,E02,VKJY-32,2208,5,9,2025-11-01 10:00:08.628601,352558.978,6286915.126
PE329,E02,VKJY-52,6493,19,23,2025-11-01 10:00:08.628615,352558.978,6286915.126
PE329,E12,VJXW-84,2134,5,9,2025-11-01 10:00:08.628616,352558.978,6286915.126
PE329,E12,VFJS-29,10791,34,60,2025-11-01 10:00:08.628617,352558.978,6286915.126
PG269,302,CJRC-37,4748,13,17,2025-11-01 10:00:10.592664,344173.36,6289135.03
PG269,302,CJRW-60,6741,19,23,2025-11-01 10:00:10.592669,344173.36,6289135.03
PB1178,B11,SKDG-81,4400,12,16,2025-11-01 10:00:12.667898,346419.658,6303472.408
PB1178,B11,SKDH-69,11149,35,60,2025-11-01 10:00:12.667904,346419.658,6303472.408
PJ998,J16,GCBD-47,2641,6,10,2025-11-01 10:00:14.671040,340012.47,6301726.347
PB1414,B25,FLXP-76,2610,6,10,2025-11-01 10:00:16.691632,345830.333,6303451.947
PB1414,B21,SKDJ-10,1619,3,7,2025-11-01 10:00:16.691637,345830.333,6303451.947
PB1414,B21,SKDG-24,12655,40,60,2025-11-01 10:00:16.691638,345830.333,6303451.947
PI73,120,SJTD-61,3522,9,13,2025-11-01 10:00:18.678939,343258.509,6293957.253
PI73,120,SJTD-64,7993,23,27,2025-11-01 10:00:18.678944,343258.509,6293957.253
PI73,125,FLXF-52,2819,7,11,2025-11-01 10:00:18.678945,343258.509,6293957.253
PI73,H07,CJRW-17,4890,13,17,2025-11-01 10:00:18.678946,343258.509,6293957.253
PI73,105,SJPD-92,4379,12,16,2025-11-01 10:00:18.678947,343258.509,6293957.253
PI73,105,SHXD-76,7676,22,26,2025-11-01 10:00:18.678948,343258.509,6293957.253
PI1032,I02,FLXZ-40,740,0,2,2025-11-01 10:00:20.666283,335357.417,6293168.643
PI1032,I02,FLXY-90,3945,10,14,2025-11-01 10:00:20.666289,335357.417,6293168.643
PI1032,I08,FLXX-62,0,0,3,2025-11-01 10:00:20.666291,335357.417,6293168.643
PI1032,I08,FLXW-84,9839,31,60,2025-11-01 10:00:20.666292,335357.417,6293168.643
PC1109,D11,SVDF-29,614,0,2,2025-11-01 10:00:22.644633,355738.897,6301275.228
PC1109,D11,SVDD-70,3131,8,12,2025-11-01 10:00:22.644637,355738.897,6301275.228
PC1109,225,VFJT-74,4852,13,17,2025-11-01 10:00:22.644638,355738.897,6301275.228
PC1109,225,VFJK-37,12960,41,60,2025-11-01 10:00:22.644639,355738.897,6301275.228
PC1109,C06,LWTK-57,1898,4,8,2025-11-01 10:00:22.644640,355738.897,6301275.228
PC1109,C06,LWTK-53,6803,19,23,2025-11-01 10:00:22.644641,355738.897,6301275.228
PC1109,503,VGTZ-99,6248,18,22,2025-11-01 10:00:22.644642,355738.897,6301275.228
PC1109,503,VGTX-46,10954,35,60,2025-11-01 10:00:22.644643,355738.897,6301275.228
PC1109,722,STHK-36,2477,6,10,2025-11-01 10:00:22.644644,355738.897,6301275.228
PC1109,722,STHR-72,7603,22,26,2025-11-01 10:00:22.644653,355738.897,6301275.228
PI490,419,PGPT-33,316,0,3,2025-11-01 10:00:24.614188,335073.521,6291090.985
PI490,419,PFVJ-17,7232,21,25,2025-11-01 10:00:24.614194,335073.521,6291090.985
PI490,I07,VHSY-23,370,0,3,2025-11-01 10:00:24.614196,335073.521,6291090.985
PF877,F01,SPVT-79,3781,10,14,2025-11-01 10:00:26.603728,354983.16,6279788.874
PA291,119,BJFT-16,308,0,3,2025-11-01 10:00:28.616937,345105.21,6296938.56
PA291,121,BJFS-87,37,0,3,2025-11-01 10:00:28.616942,345105.21,6296938.56
PA291,121,FLXF-87,3527,9,13,2025-11-01 10:00:28.616944,345105.21,6296938.56
PG2017,G43,FZZF-93,221,0,3,2025-11-01 10:00:30.616985,343938.01,6280557.01
PG2017,G24,TBYY-68,216,0,3,2025-11-01 10:00:30.616990,343938.01,6280557.01
PG2017,G24,TBYY-66,2919,7,11,2025-11-01 10:00:30.616991,343938.01,6280557.01
PG1660,G35,SFPF-83,2813,7,11,2025-11-01 10:00:34.657854,348871.353,6282745.387
PG1660,G35,SFPG-57,3149,8,12,2025-11-01 10:00:34.657858,348871.353,6282745.387
PG1660,F06,SPZX-67,2953,7,11,2025-11-01 10:00:34.657859,348871.353,6282745.387
PG1660,F06,SPZY-69,5348,15,19,2025-11-01 10:00:34.657860,348871.353,6282745.387
PG1660,G28,BJFX-55,3110,8,12,2025-11-01 10:00:34.657861,348871.353,6282745.387
PB636,B08,SHCY-37,3945,10,14,2025-11-01 10:00:36.673488,340270.929,6306207.272
PB636,314,TWPD-27,2807,7,11,2025-11-01 10:00:36.673494,340270.929,6306207.272
