bus_stop_code,route_id,bus_id,meters_distance,min_arrival_time,max_arrival_time,date,X,Y
PC94,216,SDGY-29,3310,6,8,2025-10-12 22:00:07.977349,354472.752,6301609.367
PC94,216,SRTG-92,9733,21,29,2025-10-12 22:00:07.977355,354472.752,6301609.367
PI838,I03,FLXF-13,4127,11,15,2025-10-12 22:00:09.823739,342339.602,6297630.599
PI838,I03,FLXJ-23,11397,25,60,2025-10-12 22:00:09.823745,342339.602,6297630.599
PI838,I10,FLXF-48,1088,0,5,2025-10-12 22:00:09.823747,342339.602,6297630.599
PI838,I10,FLXJ-28,6971,25,60,2025-10-12 22:00:09.823748,342339.602,6297630.599
PI420,106,PFYS-90,7156,18,26,2025-10-12 22:00:15.300110,336779.92,6290373.645
PI420,106,PFYR-92,16615,25,60,2025-10-12 22:00:15.300115,336779.92,6290373.645
PI420,401,PFVC-47,2530,8,10,2025-10-12 22:00:15.300117,336779.92,6290373.645
PI420,401,PGPT-48,4410,12,16,2025-10-12 22:00:15.300118,336779.92,6290373.645
PI420,111,FLXY-30,3574,8,10,2025-10-12 22:00:15.300119,336779.92,6290373.645
PI420,111,FLXY-65,12486,25,60,2025-10-12 22:00:15.300121,336779.92,6290373.645
PI420,I04,FLXL-11,4771,12,16,2025-10-12 22:00:15.300122,336779.92,6290373.645
PI420,I04,FLXK-98,8055,20,28,2025-10-12 22:00:15.300123,336779.92,6290373.645
PI420,I11,FLXY-77,2784,7,9,2025-10-12 22:00:15.300125,336779.92,6290373.645
PI420,506,FLXW-10,635,0,3,2025-10-12 22:00:15.300126,336779.92,6290373.645
PI420,506,GCBC-55,2988,6,8,2025-10-12 22:00:15.300127,336779.92,6290373.645
PI420,506V,FLXV-63,38,0,3,2025-10-12 22:00:15.300128,336779.92,6290373.645
PI420,506V,TBFV-34,11681,25,60,2025-10-12 22:00:15.300129,336779.92,6290373.645
PE1506,D17,PFYC-71,1021,0,3,2025-10-12 22:00:17.098778,358036.79,6291126.21
PB320,203,SRTH-19,8803,21,29,2025-10-12 22:00:19.132838,347166.82,6301123.76
PB320,203,LZPT-49,13838,25,60,2025-10-12 22:00:19.132844,347166.82,6301123.76
