id,codinfra,comuna,bus_stop_code,nombre_par,n_servicios,servicios,coordinates
10325,L-34-2-50-OP,PUENTE ALTO,PF196,27 de Septiembre / esq. El Mirador,4,F01;F01c;F29;712,"[-70.523169, -33.60805]"
10357,L-34-116-15-OP,PUENTE ALTO,PF993,11 de Septiembre / esq. El Mirador,1,F24,"[-70.521889, -33.610794]"
10320,L-34-37-20-PO,PUENTE ALTO,PF998,El Volc�n / esq. El Omb�,2,F01;F24,"[-70.521728, -33.609728]"
10424,L-34-114-5-NS,PUENTE ALTO,PF985,Los Pinos / esq. El Volc�n,3,F01c;F29;712,"[-70.521599, -33.609184]"
10356,L-34-116-5-OP,PUENTE ALTO,PF994,11 de Septiembre / esq. El Bamb�,1,F24,"[-70.519214, -33.609842]"
10321,L-34-37-15-PO,PUENTE ALTO,PF997,El Volc�n / esq. El Bamb�,5,F01;F24;F01c;F29;712,"[-70.519964, -33.609105]"
10355,L-34-37-5-OP,PUENTE ALTO,PF988,El Volc�n / esq. El Quisco,1,F24,"[-70.517913, -33.608277]"
10322,L-34-37-10-PO,PUENTE ALTO,PF194,El Volc�n / esq. Las Higueras,5,F01;F24;F01c;F29;712,"[-70.5178, -33.608322]"
10324,L-34-2-60-OP,PUENTE ALTO,PF195,27 de Septiembre / esq. Los Maquis,4,F01;F01c;F29;712,"[-70.519832, -33.606801]"
10323,L-34-51-5-SN,PUENTE ALTO,PF1147,Pasaje Los Tilos / esq. 27 de Septiembre,4,F01;F01c;F29;712,"[-70.517271, -33.607563]"
10413,L-34-40-305-NS,PUENTE ALTO,PF501,Parada  / Balneario @ Puente Alto,2,F24;F11,"[-70.532833, -33.602321]"
10361,L-34-40-305-SN,PUENTE ALTO,PF525,Parada  / Balneario @ Puente Alto,2,F24;F11,"[-70.532664, -33.602185]"
10362,L-34-40-310-SN,PUENTE ALTO,PF526,Avenida Eyzaguirre / esq. Av.Camilo Henr�quez,2,F24;F11,"[-70.531281, -33.599732]"
10412,L-34-40-300-NS,PUENTE ALTO,PF500,Avenida Eyzaguirre / esq. Hermanos Carrera,2,F24;F11,"[-70.531327, -33.599633]"
10411,L-34-13-50-NS,PUENTE ALTO,PF706,Parada  / MOP Las Vizcachas,2,F24;F26,"[-70.532485, -33.597599]"
