line_id,station_id,name,status_code,status_description,date,Hora_minuto
L3,irarrazaval,Irarrázaval,0,Estación Operativa,2025-10-12 17:07:54.225272,17:07
L3,monsenor-eyzaguirre,Monseñor Eyzaguirre,0,Estación Operativa,2025-10-12 17:07:54.225274,17:07
L3,nunoa,Ñuñoa,0,Estación Operativa,2025-10-12 17:07:54.225275,17:07
L3,chile-espana,Chile España,0,Estación Operativa,2025-10-12 17:07:54.225275,17:07
L3,villa-frei,Villa Frei,0,Estación Operativa,2025-10-12 17:07:54.225276,17:07
L3,plaza-egana,Plaza Egaña,0,Estación Operativa,2025-10-12 17:07:54.225287,17:07
L3,fernando-castillo-velasco,Fernando Castillo Velasco,0,Estación Operativa,2025-10-12 17:07:54.225288,17:07
L4,tobalaba,Tobalaba,0,Estación Operativa,2025-10-12 17:07:54.225291,17:07
L4,cristobal-colon,Cristóbal Colón,0,Estación Operativa,2025-10-12 17:07:54.225292,17:07
L4,francisco-bilbao,Francisco Bilbao,0,Estación Operativa,2025-10-12 17:07:54.225292,17:07
L4,principe-de-gales,Príncipe de Gales,0,Estación Operativa,2025-10-12 17:07:54.225293,17:07
L4,simon-bolivar,Simón Bolivar,0,Estación Operativa,2025-10-12 17:07:54.225294,17:07
L4,plaza-egana,Plaza Egaña,0,Estación Operativa,2025-10-12 17:07:54.225295,17:07
L4,los-orientales,Los Orientales,0,Estación Operativa,2025-10-12 17:07:54.225296,17:07
L4,grecia,Grecia,0,Estación Operativa,2025-10-12 17:07:54.225296,17:07
L4,los-presidentes,Los Presidentes,0,Estación Operativa,2025-10-12 17:07:54.225297,17:07
L4,quilin,Quilín,0,Estación Operativa,2025-10-12 17:07:54.225298,17:07
L4,las-torres,Las Torres,0,Estación Operativa,2025-10-12 17:07:54.225299,17:07
L4,macul,Macul,0,Estación Operativa,2025-10-12 17:07:54.225299,17:07
L4,vicuna-mackenna,Vicuña Mackenna,0,Estación Operativa,2025-10-12 17:07:54.225300,17:07
