line_id,station_id,name,status_code,status_description,date
L1,san-pablo,San Pablo,0,Estación Operativa,2025-10-23 09:30:03.711473
L1,neptuno,Neptuno,0,Estación Operativa,2025-10-23 09:30:03.711477
L1,pajaritos,Pajaritos,0,Estación Operativa,2025-10-23 09:30:03.711479
L1,las-rejas,Las Rejas,0,Estación Operativa,2025-10-23 09:30:03.711480
L1,ecuador,Ecuador,0,Estación Operativa,2025-10-23 09:30:03.711481
L1,san-alberto-hurtado,San Alberto Hurtado,0,Estación Operativa,2025-10-23 09:30:03.711481
L1,universidad-de-santiago,Universidad de Santiago,0,Estación Operativa,2025-10-23 09:30:03.711482
L1,estacion-central,Estación Central,0,Estación Operativa,2025-10-23 09:30:03.711483
L1,u-l-a,U.L.A.,0,Estación Operativa,2025-10-23 09:30:03.711484
L1,republica,República,0,Estación Operativa,2025-10-23 09:30:03.711484
L1,los-heroes,Los Héroes,0,Estación Operativa,2025-10-23 09:30:03.711485
L1,la-moneda,La Moneda,0,Estación Operativa,2025-10-23 09:30:03.711486
L1,universidad-de-chile,Universidad de Chile,0,Estación Operativa,2025-10-23 09:30:03.711487
L1,santa-lucia,Santa Lucía,0,Estación Operativa,2025-10-23 09:30:03.711487
L1,universidad-catolica,Universidad Católica,0,Estación Operativa,2025-10-23 09:30:03.711488
L1,baquedano,Baquedano,0,Estación Operativa,2025-10-23 09:30:03.711489
L1,salvador,Salvador,0,Estación Operativa,2025-10-23 09:30:03.711489
L1,manuel-montt,Manuel Montt,0,Estación Operativa,2025-10-23 09:30:03.711490
L1,pedro-de-valdivia,Pedro de Valdivia,0,Estación Operativa,2025-10-23 09:30:03.711493
L1,los-leones,Los Leones,0,Estación Operativa,2025-10-23 09:30:03.711493
L1,tobalaba,Tobalaba,0,Estación Operativa,2025-10-23 09:30:03.711494
L1,el-golf,El Golf,0,Estación Operativa,2025-10-23 09:30:03.711495
L1,alcantara,Alcántara,0,Estación Operativa,2025-10-23 09:30:03.711495
L1,escuela-militar,Escuela Militar,0,Estación Operativa,2025-10-23 09:30:03.711496
L1,manquehue,Manquehue,0,Estación Operativa,2025-10-23 09:30:03.711497
L1,hernando-de-magallanes,Hernando de Magallanes,0,Estación Operativa,2025-10-23 09:30:03.711498
L1,los-dominicos,Los Dominicos,0,Estación Operativa,2025-10-23 09:30:03.711498
L2,vespucio-norte,Vespucio Norte,0,Estación Operativa,2025-10-23 09:30:03.711506
L2,zapadores,Zapadores,0,Estación Operativa,2025-10-23 09:30:03.711507
L2,dorsal,Dorsal,0,Estación Operativa,2025-10-23 09:30:03.711507
L2,einstein,Einstein,0,Estación Operativa,2025-10-23 09:30:03.711508
L2,cementerios,Cementerios,0,Estación Operativa,2025-10-23 09:30:03.711509
L2,cerro-blanco,Cerro Blanco,0,Estación Operativa,2025-10-23 09:30:03.711511
L2,patronato,Patronato,0,Estación Operativa,2025-10-23 09:30:03.711512
L2,puente-cal-y-canto,Puente Cal y Canto,0,Estación Operativa,2025-10-23 09:30:03.711512
L2,santa-ana,Santa Ana,0,Estación Operativa,2025-10-23 09:30:03.711513
L2,los-heroes,Los Héroes,0,Estación Operativa,2025-10-23 09:30:03.711514
L2,toesca,Toesca,0,Estación Operativa,2025-10-23 09:30:03.711516
L2,parque-ohiggins,Parque O'Higgins,0,Estación Operativa,2025-10-23 09:30:03.711516
L2,rondizzoni,Rondizzoni,0,Estación Operativa,2025-10-23 09:30:03.711517
L2,franklin,Franklin,0,Estación Operativa,2025-10-23 09:30:03.711518
L2,el-llano,El Llano,0,Estación Operativa,2025-10-23 09:30:03.711518
L2,san-miguel,San Miguel,0,Estación Operativa,2025-10-23 09:30:03.711519
L2,lo-vial,Lo Vial,0,Estación Operativa,2025-10-23 09:30:03.711520
L2,departamental,Departamental,0,Estación Operativa,2025-10-23 09:30:03.711521
L2,ciudad-del-nino,Ciudad del Niño,0,Estación Operativa,2025-10-23 09:30:03.711521
L2,lo-ovalle,Lo Ovalle,0,Estación Operativa,2025-10-23 09:30:03.711522
L2,el-parron,El Parrón,0,Estación Operativa,2025-10-23 09:30:03.711523
L2,la-cisterna,La Cisterna,0,Estación Operativa,2025-10-23 09:30:03.711523
L2,el-bosque,El Bosque,0,Estación Operativa,2025-10-23 09:30:03.711524
L2,observatorio,Observatorio,0,Estación Operativa,2025-10-23 09:30:03.711525
L2,copa-lo-martinez,Copa Lo Martinez,0,Estación Operativa,2025-10-23 09:30:03.711525
L2,hospital-el-pino,Hospital El Pino,0,Estación Operativa,2025-10-23 09:30:03.711526
L3,plaza-quilicura,Plaza Quilicura,0,Estación Operativa,2025-10-23 09:30:03.711531
L3,lo-cruzat,Lo Cruzat,0,Estación Operativa,2025-10-23 09:30:03.711532
L3,ferrocarril,Ferrocarril,0,Estación Operativa,2025-10-23 09:30:03.711532
L3,los-libertadores,Los Libertadores,0,Estación Operativa,2025-10-23 09:30:03.711533
L3,cardenal-caro,Cardenal Caro,0,Estación Operativa,2025-10-23 09:30:03.711535
L3,vivaceta,Vivaceta,0,Estación Operativa,2025-10-23 09:30:03.711536
L3,conchali,Conchalí,0,Estación Operativa,2025-10-23 09:30:03.711537
L3,plaza-chacabuco,Plaza Chacabuco,0,Estación Operativa,2025-10-23 09:30:03.711538
L3,hospitales,Hospitales,0,Estación Operativa,2025-10-23 09:30:03.711539
L3,puente-cal-y-canto,Puente Cal y Canto,0,Estación Operativa,2025-10-23 09:30:03.711539
L3,plaza-de-armas,Plaza de Armas,0,Estación Operativa,2025-10-23 09:30:03.711540
L3,universidad-de-chile,Universidad de Chile,0,Estación Operativa,2025-10-23 09:30:03.711541
L3,parque-almagro,Parque Almagro,0,Estación Operativa,2025-10-23 09:30:03.711542
L3,matta,Matta,0,Estación Operativa,2025-10-23 09:30:03.711542
L3,irarrazaval,Irarrázaval,0,Estación Operativa,2025-10-23 09:30:03.711543
L3,monsenor-eyzaguirre,Monseñor Eyzaguirre,0,Estación Operativa,2025-10-23 09:30:03.711544
L3,nunoa,Ñuñoa,0,Estación Operativa,2025-10-23 09:30:03.711544
L3,chile-espana,Chile España,0,Estación Operativa,2025-10-23 09:30:03.711545
L3,villa-frei,Villa Frei,0,Estación Operativa,2025-10-23 09:30:03.711546
L3,plaza-egana,Plaza Egaña,0,Estación Operativa,2025-10-23 09:30:03.711546
L3,fernando-castillo-velasco,Fernando Castillo Velasco,0,Estación Operativa,2025-10-23 09:30:03.711547
L4,tobalaba,Tobalaba,0,Estación Operativa,2025-10-23 09:30:03.711550
L4,cristobal-colon,Cristóbal Colón,0,Estación Operativa,2025-10-23 09:30:03.711551
L4,francisco-bilbao,Francisco Bilbao,0,Estación Operativa,2025-10-23 09:30:03.711555
L4,principe-de-gales,Príncipe de Gales,0,Estación Operativa,2025-10-23 09:30:03.711556
L4,simon-bolivar,Simón Bolivar,0,Estación Operativa,2025-10-23 09:30:03.711557
L4,plaza-egana,Plaza Egaña,0,Estación Operativa,2025-10-23 09:30:03.711557
L4,los-orientales,Los Orientales,0,Estación Operativa,2025-10-23 09:30:03.711558
L4,grecia,Grecia,0,Estación Operativa,2025-10-23 09:30:03.711559
L4,los-presidentes,Los Presidentes,0,Estación Operativa,2025-10-23 09:30:03.711559
L4,quilin,Quilín,0,Estación Operativa,2025-10-23 09:30:03.711560
L4,las-torres,Las Torres,0,Estación Operativa,2025-10-23 09:30:03.711561
L4,macul,Macul,0,Estación Operativa,2025-10-23 09:30:03.711561
L4,vicuna-mackenna,Vicuña Mackenna,0,Estación Operativa,2025-10-23 09:30:03.711562
L4,vicente-valdes,Vicente Valdés,0,Estación Operativa,2025-10-23 09:30:03.711563
L4,rojas-magallanes,Rojas Magallanes,0,Estación Operativa,2025-10-23 09:30:03.711563
L4,trinidad,Trinidad,0,Estación Operativa,2025-10-23 09:30:03.711564
L4,san-jose-de-la-estrella,San José de la Estrella,0,Estación Operativa,2025-10-23 09:30:03.711565
L4,los-quillayes,Los Quillayes,0,Estación Operativa,2025-10-23 09:30:03.711566
L4,elisa-correa,Elisa Correa,0,Estación Operativa,2025-10-23 09:30:03.711566
L4,hospital-sotero-del-rio,Hospital Sótero del Río,0,Estación Operativa,2025-10-23 09:30:03.711567
L4,protectora-de-la-infancia,Protectora de la Infancia,0,Estación Operativa,2025-10-23 09:30:03.711568
L4,las-mercedes,Las Mercedes,0,Estación Operativa,2025-10-23 09:30:03.711568
L4,plaza-de-puente-alto,Plaza de Puente Alto,0,Estación Operativa,2025-10-23 09:30:03.711570
L4A,vicuna-mackenna,Vicuña Mackenna,0,Estación Operativa,2025-10-23 09:30:03.711573
L4A,santa-julia,Santa Julia,0,Estación Operativa,2025-10-23 09:30:03.711573
L4A,la-granja,La Granja,0,Estación Operativa,2025-10-23 09:30:03.711574
L4A,santa-rosa,Santa Rosa,0,Estación Operativa,2025-10-23 09:30:03.711575
L4A,san-ramon,San Ramón,0,Estación Operativa,2025-10-23 09:30:03.711575
L4A,la-cisterna,La Cisterna,0,Estación Operativa,2025-10-23 09:30:03.711576
L5,plaza-de-maipu,Plaza de Maipú,0,Estación Operativa,2025-10-23 09:30:03.711579
L5,santiago-bueras,Santiago Bueras,0,Estación Operativa,2025-10-23 09:30:03.711579
L5,del-sol,Del Sol,0,Estación Operativa,2025-10-23 09:30:03.711580
L5,monte-tabor,Monte Tabor,0,Estación Operativa,2025-10-23 09:30:03.711581
L5,las-parcelas,Las Parcelas,0,Estación Operativa,2025-10-23 09:30:03.711581
L5,laguna-sur,Laguna Sur,0,Estación Operativa,2025-10-23 09:30:03.711582
L5,barrancas,Barrancas,0,Estación Operativa,2025-10-23 09:30:03.711583
L5,pudahuel,Pudahuel,0,Estación Operativa,2025-10-23 09:30:03.711584
L5,san-pablo,San Pablo,0,Estación Operativa,2025-10-23 09:30:03.711584
L5,lo-prado,Lo Prado,0,Estación Operativa,2025-10-23 09:30:03.711585
L5,blanqueado,Blanqueado,0,Estación Operativa,2025-10-23 09:30:03.711586
L5,gruta-de-lourdes,Gruta de Lourdes,0,Estación Operativa,2025-10-23 09:30:03.711586
L5,quinta-normal,Quinta Normal,0,Estación Operativa,2025-10-23 09:30:03.711588
L5,cumming,Cumming,0,Estación Operativa,2025-10-23 09:30:03.711589
L5,santa-ana,Santa Ana,0,Estación Operativa,2025-10-23 09:30:03.711591
L5,plaza-de-armas,Plaza de Armas,0,Estación Operativa,2025-10-23 09:30:03.711591
L5,bellas-artes,Bellas Artes,0,Estación Operativa,2025-10-23 09:30:03.711592
L5,baquedano,Baquedano,0,Estación Operativa,2025-10-23 09:30:03.711593
L5,parque-bustamante,Parque Bustamante,0,Estación Operativa,2025-10-23 09:30:03.711594
L5,santa-isabel,Santa Isabel,0,Estación Operativa,2025-10-23 09:30:03.711594
L5,irarrazaval,Irarrázaval,0,Estación Operativa,2025-10-23 09:30:03.711596
L5,nuble,Ñuble,0,Estación Operativa,2025-10-23 09:30:03.711597
L5,rodrigo-de-araya,Rodrigo de Araya,0,Estación Operativa,2025-10-23 09:30:03.711597
L5,carlos-valdovinos,Carlos Valdovinos,0,Estación Operativa,2025-10-23 09:30:03.711598
L5,camino-agricola,Camino Agrícola,0,Estación Operativa,2025-10-23 09:30:03.711599
L5,san-joaquin,San Joaquín,0,Estación Operativa,2025-10-23 09:30:03.711600
L5,pedrero,Pedrero,0,Estación Operativa,2025-10-23 09:30:03.711600
L5,mirador,Mirador,0,Estación Operativa,2025-10-23 09:30:03.711601
L5,bellavista-de-la-florida,Bellavista de La Florida,0,Estación Operativa,2025-10-23 09:30:03.711602
