line_id,station_id,name,status_code,status_description,date
L1,san-pablo,San Pablo,0,Estación Operativa,2025-10-18 20:30:03.716667
L1,neptuno,Neptuno,0,Estación Operativa,2025-10-18 20:30:03.716672
L1,pajaritos,Pajaritos,0,Estación Operativa,2025-10-18 20:30:03.716673
L1,las-rejas,Las Rejas,0,Estación Operativa,2025-10-18 20:30:03.716674
L1,ecuador,Ecuador,0,Estación Operativa,2025-10-18 20:30:03.716675
L1,san-alberto-hurtado,San Alberto Hurtado,0,Estación Operativa,2025-10-18 20:30:03.716676
L1,universidad-de-santiago,Universidad de Santiago,0,Estación Operativa,2025-10-18 20:30:03.716677
L1,estacion-central,Estación Central,0,Estación Operativa,2025-10-18 20:30:03.716678
L1,u-l-a,U.L.A.,0,Estación Operativa,2025-10-18 20:30:03.716678
L1,republica,República,0,Estación Operativa,2025-10-18 20:30:03.716679
L1,los-heroes,Los Héroes,0,Estación Operativa,2025-10-18 20:30:03.716680
L1,la-moneda,La Moneda,0,Estación Operativa,2025-10-18 20:30:03.716681
L1,universidad-de-chile,Universidad de Chile,0,Estación Operativa,2025-10-18 20:30:03.716681
L1,santa-lucia,Santa Lucía,0,Estación Operativa,2025-10-18 20:30:03.716682
L1,universidad-catolica,Universidad Católica,0,Estación Operativa,2025-10-18 20:30:03.716683
L1,baquedano,Baquedano,0,Estación Operativa,2025-10-18 20:30:03.716683
L1,salvador,Salvador,0,Estación Operativa,2025-10-18 20:30:03.716684
L1,manuel-montt,Manuel Montt,0,Estación Operativa,2025-10-18 20:30:03.716685
L1,pedro-de-valdivia,Pedro de Valdivia,0,Estación Operativa,2025-10-18 20:30:03.716687
L1,los-leones,Los Leones,0,Estación Operativa,2025-10-18 20:30:03.716688
L1,tobalaba,Tobalaba,0,Estación Operativa,2025-10-18 20:30:03.716689
L1,el-golf,El Golf,0,Estación Operativa,2025-10-18 20:30:03.716689
L1,alcantara,Alcántara,0,Estación Operativa,2025-10-18 20:30:03.716690
L1,escuela-militar,Escuela Militar,0,Estación Operativa,2025-10-18 20:30:03.716691
L1,manquehue,Manquehue,0,Estación Operativa,2025-10-18 20:30:03.716691
L1,hernando-de-magallanes,Hernando de Magallanes,0,Estación Operativa,2025-10-18 20:30:03.716692
L1,los-dominicos,Los Dominicos,0,Estación Operativa,2025-10-18 20:30:03.716693
L2,vespucio-norte,Vespucio Norte,0,Estación Operativa,2025-10-18 20:30:03.716702
L2,zapadores,Zapadores,0,Estación Operativa,2025-10-18 20:30:03.716702
L2,dorsal,Dorsal,0,Estación Operativa,2025-10-18 20:30:03.716704
L2,einstein,Einstein,0,Estación Operativa,2025-10-18 20:30:03.716705
L2,cementerios,Cementerios,0,Estación Operativa,2025-10-18 20:30:03.716706
L2,cerro-blanco,Cerro Blanco,0,Estación Operativa,2025-10-18 20:30:03.716707
L2,patronato,Patronato,0,Estación Operativa,2025-10-18 20:30:03.716707
L2,puente-cal-y-canto,Puente Cal y Canto,0,Estación Operativa,2025-10-18 20:30:03.716708
L2,santa-ana,Santa Ana,0,Estación Operativa,2025-10-18 20:30:03.716709
L2,los-heroes,Los Héroes,0,Estación Operativa,2025-10-18 20:30:03.716709
L2,toesca,Toesca,0,Estación Operativa,2025-10-18 20:30:03.716711
L2,parque-ohiggins,Parque O'Higgins,0,Estación Operativa,2025-10-18 20:30:03.716712
L2,rondizzoni,Rondizzoni,0,Estación Operativa,2025-10-18 20:30:03.716713
L2,franklin,Franklin,0,Estación Operativa,2025-10-18 20:30:03.716713
L2,el-llano,El Llano,0,Estación Operativa,2025-10-18 20:30:03.716714
L2,san-miguel,San Miguel,0,Estación Operativa,2025-10-18 20:30:03.716715
L2,lo-vial,Lo Vial,0,Estación Operativa,2025-10-18 20:30:03.716715
L2,departamental,Departamental,0,Estación Operativa,2025-10-18 20:30:03.716716
L2,ciudad-del-nino,Ciudad del Niño,0,Estación Operativa,2025-10-18 20:30:03.716717
L2,lo-ovalle,Lo Ovalle,0,Estación Operativa,2025-10-18 20:30:03.716717
L2,el-parron,El Parrón,0,Estación Operativa,2025-10-18 20:30:03.716718
L2,la-cisterna,La Cisterna,0,Estación Operativa,2025-10-18 20:30:03.716719
