line_id,station_id,name,status_code,status_description,date
L1,san-pablo,San Pablo,0,Estación Operativa,2025-10-13 17:30:03.557580
L1,neptuno,Neptuno,0,Estación Operativa,2025-10-13 17:30:03.557584
L1,pajaritos,Pajaritos,0,Estación Operativa,2025-10-13 17:30:03.557585
L1,las-rejas,Las Rejas,0,Estación Operativa,2025-10-13 17:30:03.557586
L1,ecuador,Ecuador,0,Estación Operativa,2025-10-13 17:30:03.557587
L1,san-alberto-hurtado,San Alberto Hurtado,0,Estación Operativa,2025-10-13 17:30:03.557588
L1,universidad-de-santiago,Universidad de Santiago,0,Estación Operativa,2025-10-13 17:30:03.557589
L1,estacion-central,Estación Central,0,Estación Operativa,2025-10-13 17:30:03.557589
L1,u-l-a,U.L.A.,0,Estación Operativa,2025-10-13 17:30:03.557590
L1,republica,República,0,Estación Operativa,2025-10-13 17:30:03.557591
L1,los-heroes,Los Héroes,0,Estación Operativa,2025-10-13 17:30:03.557591
L1,la-moneda,La Moneda,0,Estación Operativa,2025-10-13 17:30:03.557594
L1,universidad-de-chile,Universidad de Chile,0,Estación Operativa,2025-10-13 17:30:03.557595
L1,santa-lucia,Santa Lucía,0,Estación Operativa,2025-10-13 17:30:03.557595
L1,universidad-catolica,Universidad Católica,0,Estación Operativa,2025-10-13 17:30:03.557596
L1,baquedano,Baquedano,0,Estación Operativa,2025-10-13 17:30:03.557597
L1,salvador,Salvador,0,Estación Operativa,2025-10-13 17:30:03.557597
L1,manuel-montt,Manuel Montt,0,Estación Operativa,2025-10-13 17:30:03.557598
L1,pedro-de-valdivia,Pedro de Valdivia,0,Estación Operativa,2025-10-13 17:30:03.557600
L1,los-leones,Los Leones,0,Estación Operativa,2025-10-13 17:30:03.557601
L1,tobalaba,Tobalaba,0,Estación Operativa,2025-10-13 17:30:03.557601
L1,el-golf,El Golf,0,Estación Operativa,2025-10-13 17:30:03.557602
L1,alcantara,Alcántara,0,Estación Operativa,2025-10-13 17:30:03.557603
L1,escuela-militar,Escuela Militar,0,Estación Operativa,2025-10-13 17:30:03.557603
L1,manquehue,Manquehue,0,Estación Operativa,2025-10-13 17:30:03.557604
L1,hernando-de-magallanes,Hernando de Magallanes,0,Estación Operativa,2025-10-13 17:30:03.557605
L1,los-dominicos,Los Dominicos,0,Estación Operativa,2025-10-13 17:30:03.557606
L2,vespucio-norte,Vespucio Norte,0,Estación Operativa,2025-10-13 17:30:03.557613
L2,zapadores,Zapadores,0,Estación Operativa,2025-10-13 17:30:03.557614
L2,dorsal,Dorsal,0,Estación Operativa,2025-10-13 17:30:03.557615
L2,einstein,Einstein,0,Estación Operativa,2025-10-13 17:30:03.557615
L2,cementerios,Cementerios,0,Estación Operativa,2025-10-13 17:30:03.557617
L2,cerro-blanco,Cerro Blanco,0,Estación Operativa,2025-10-13 17:30:03.557618
L2,patronato,Patronato,0,Estación Operativa,2025-10-13 17:30:03.557619
L2,puente-cal-y-canto,Puente Cal y Canto,0,Estación Operativa,2025-10-13 17:30:03.557619
L2,santa-ana,Santa Ana,0,Estación Operativa,2025-10-13 17:30:03.557620
L2,los-heroes,Los Héroes,0,Estación Operativa,2025-10-13 17:30:03.557621
L2,toesca,Toesca,0,Estación Operativa,2025-10-13 17:30:03.557623
L2,parque-ohiggins,Parque O'Higgins,0,Estación Operativa,2025-10-13 17:30:03.557623
L2,rondizzoni,Rondizzoni,0,Estación Operativa,2025-10-13 17:30:03.557624
L2,franklin,Franklin,0,Estación Operativa,2025-10-13 17:30:03.557625
L2,el-llano,El Llano,0,Estación Operativa,2025-10-13 17:30:03.557625
L2,san-miguel,San Miguel,0,Estación Operativa,2025-10-13 17:30:03.557626
L2,lo-vial,Lo Vial,0,Estación Operativa,2025-10-13 17:30:03.557627
L2,departamental,Departamental,0,Estación Operativa,2025-10-13 17:30:03.557628
L2,ciudad-del-nino,Ciudad del Niño,0,Estación Operativa,2025-10-13 17:30:03.557628
L2,lo-ovalle,Lo Ovalle,0,Estación Operativa,2025-10-13 17:30:03.557629
L2,el-parron,El Parrón,0,Estación Operativa,2025-10-13 17:30:03.557630
L2,la-cisterna,La Cisterna,0,Estación Operativa,2025-10-13 17:30:03.557630
L2,el-bosque,El Bosque,0,Estación Operativa,2025-10-13 17:30:03.557631
L2,observatorio,Observatorio,0,Estación Operativa,2025-10-13 17:30:03.557632
L2,copa-lo-martinez,Copa Lo Martinez,0,Estación Operativa,2025-10-13 17:30:03.557632
L2,hospital-el-pino,Hospital El Pino,0,Estación Operativa,2025-10-13 17:30:03.557633
L3,plaza-quilicura,Plaza Quilicura,0,Estación Operativa,2025-10-13 17:30:03.557638
L3,lo-cruzat,Lo Cruzat,0,Estación Operativa,2025-10-13 17:30:03.557638
L3,ferrocarril,Ferrocarril,0,Estación Operativa,2025-10-13 17:30:03.557639
L3,los-libertadores,Los Libertadores,0,Estación Operativa,2025-10-13 17:30:03.557640
L3,cardenal-caro,Cardenal Caro,0,Estación Operativa,2025-10-13 17:30:03.557642
L3,vivaceta,Vivaceta,0,Estación Operativa,2025-10-13 17:30:03.557642
L3,conchali,Conchalí,0,Estación Operativa,2025-10-13 17:30:03.557643
L3,plaza-chacabuco,Plaza Chacabuco,0,Estación Operativa,2025-10-13 17:30:03.557644
L3,hospitales,Hospitales,0,Estación Operativa,2025-10-13 17:30:03.557644
L3,puente-cal-y-canto,Puente Cal y Canto,0,Estación Operativa,2025-10-13 17:30:03.557645
L3,plaza-de-armas,Plaza de Armas,0,Estación Operativa,2025-10-13 17:30:03.557646
L3,universidad-de-chile,Universidad de Chile,0,Estación Operativa,2025-10-13 17:30:03.557646
L3,parque-almagro,Parque Almagro,0,Estación Operativa,2025-10-13 17:30:03.557647
L3,matta,Matta,0,Estación Operativa,2025-10-13 17:30:03.557648
L3,irarrazaval,Irarrázaval,0,Estación Operativa,2025-10-13 17:30:03.557649
L3,monsenor-eyzaguirre,Monseñor Eyzaguirre,0,Estación Operativa,2025-10-13 17:30:03.557649
L3,nunoa,Ñuñoa,0,Estación Operativa,2025-10-13 17:30:03.557650
L3,chile-espana,Chile España,0,Estación Operativa,2025-10-13 17:30:03.557651
L3,villa-frei,Villa Frei,0,Estación Operativa,2025-10-13 17:30:03.557651
L3,plaza-egana,Plaza Egaña,0,Estación Operativa,2025-10-13 17:30:03.557652
L3,fernando-castillo-velasco,Fernando Castillo Velasco,0,Estación Operativa,2025-10-13 17:30:03.557653
L4,tobalaba,Tobalaba,0,Estación Operativa,2025-10-13 17:30:03.557657
L4,cristobal-colon,Cristóbal Colón,0,Estación Operativa,2025-10-13 17:30:03.557657
L4,francisco-bilbao,Francisco Bilbao,0,Estación Operativa,2025-10-13 17:30:03.557662
L4,principe-de-gales,Príncipe de Gales,0,Estación Operativa,2025-10-13 17:30:03.557663
L4,simon-bolivar,Simón Bolivar,0,Estación Operativa,2025-10-13 17:30:03.557664
L4,plaza-egana,Plaza Egaña,0,Estación Operativa,2025-10-13 17:30:03.557664
L4,los-orientales,Los Orientales,0,Estación Operativa,2025-10-13 17:30:03.557665
L4,grecia,Grecia,0,Estación Operativa,2025-10-13 17:30:03.557666
L4,los-presidentes,Los Presidentes,0,Estación Operativa,2025-10-13 17:30:03.557666
L4,quilin,Quilín,0,Estación Operativa,2025-10-13 17:30:03.557667
