line_id,station_id,name,status_code,status_description,date
L1,san-pablo,San Pablo,0,Estación Operativa,2025-10-18 10:30:03.721073
L1,neptuno,Neptuno,0,Estación Operativa,2025-10-18 10:30:03.721080
L1,pajaritos,Pajaritos,0,Estación Operativa,2025-10-18 10:30:03.721082
L1,las-rejas,Las Rejas,0,Estación Operativa,2025-10-18 10:30:03.721084
L1,ecuador,Ecuador,0,Estación Operativa,2025-10-18 10:30:03.721086
L1,san-alberto-hurtado,San Alberto Hurtado,0,Estación Operativa,2025-10-18 10:30:03.721087
L1,universidad-de-santiago,Universidad de Santiago,0,Estación Operativa,2025-10-18 10:30:03.721088
L1,estacion-central,Estación Central,0,Estación Operativa,2025-10-18 10:30:03.721090
L1,u-l-a,U.L.A.,0,Estación Operativa,2025-10-18 10:30:03.721091
L1,republica,República,0,Estación Operativa,2025-10-18 10:30:03.721093
L1,los-heroes,Los Héroes,0,Estación Operativa,2025-10-18 10:30:03.721094
L1,la-moneda,La Moneda,0,Estación Operativa,2025-10-18 10:30:03.721095
L1,universidad-de-chile,Universidad de Chile,0,Estación Operativa,2025-10-18 10:30:03.721096
L1,santa-lucia,Santa Lucía,0,Estación Operativa,2025-10-18 10:30:03.721101
L1,universidad-catolica,Universidad Católica,0,Estación Operativa,2025-10-18 10:30:03.721102
L1,baquedano,Baquedano,0,Estación Operativa,2025-10-18 10:30:03.721104
L1,salvador,Salvador,0,Estación Operativa,2025-10-18 10:30:03.721105
L1,manuel-montt,Manuel Montt,0,Estación Operativa,2025-10-18 10:30:03.721106
L1,pedro-de-valdivia,Pedro de Valdivia,0,Estación Operativa,2025-10-18 10:30:03.721110
L1,los-leones,Los Leones,0,Estación Operativa,2025-10-18 10:30:03.721111
L1,tobalaba,Tobalaba,0,Estación Operativa,2025-10-18 10:30:03.721112
L1,el-golf,El Golf,0,Estación Operativa,2025-10-18 10:30:03.721113
L1,alcantara,Alcántara,0,Estación Operativa,2025-10-18 10:30:03.721114
L1,escuela-militar,Escuela Militar,0,Estación Operativa,2025-10-18 10:30:03.721115
L1,manquehue,Manquehue,0,Estación Operativa,2025-10-18 10:30:03.721117
L1,hernando-de-magallanes,Hernando de Magallanes,0,Estación Operativa,2025-10-18 10:30:03.721118
L1,los-dominicos,Los Dominicos,0,Estación Operativa,2025-10-18 10:30:03.721121
L2,vespucio-norte,Vespucio Norte,0,Estación Operativa,2025-10-18 10:30:03.721134
L2,zapadores,Zapadores,0,Estación Operativa,2025-10-18 10:30:03.721135
L2,dorsal,Dorsal,0,Estación Operativa,2025-10-18 10:30:03.721136
L2,einstein,Einstein,0,Estación Operativa,2025-10-18 10:30:03.721138
L2,cementerios,Cementerios,0,Estación Operativa,2025-10-18 10:30:03.721139
L2,cerro-blanco,Cerro Blanco,0,Estación Operativa,2025-10-18 10:30:03.721140
L2,patronato,Patronato,0,Estación Operativa,2025-10-18 10:30:03.721141
L2,puente-cal-y-canto,Puente Cal y Canto,0,Estación Operativa,2025-10-18 10:30:03.721143
L2,santa-ana,Santa Ana,0,Estación Operativa,2025-10-18 10:30:03.721144
L2,los-heroes,Los Héroes,0,Estación Operativa,2025-10-18 10:30:03.721145
