line_id,station_id,name,status_code,status_description,date
L1,san-pablo,San Pablo,0,Estación Operativa,2025-10-13 09:30:02.995336
L1,neptuno,Neptuno,0,Estación Operativa,2025-10-13 09:30:02.995341
L1,pajaritos,Pajaritos,0,Estación Operativa,2025-10-13 09:30:02.995343
L1,las-rejas,Las Rejas,0,Estación Operativa,2025-10-13 09:30:02.995345
L1,ecuador,Ecuador,0,Estación Operativa,2025-10-13 09:30:02.995346
L1,san-alberto-hurtado,San Alberto Hurtado,0,Estación Operativa,2025-10-13 09:30:02.995350
L1,universidad-de-santiago,Universidad de Santiago,0,Estación Operativa,2025-10-13 09:30:02.995351
L1,estacion-central,Estación Central,0,Estación Operativa,2025-10-13 09:30:02.995352
L1,u-l-a,U.L.A.,0,Estación Operativa,2025-10-13 09:30:02.995353
L1,republica,República,0,Estación Operativa,2025-10-13 09:30:02.995355
L1,los-heroes,Los Héroes,0,Estación Operativa,2025-10-13 09:30:02.995356
L1,la-moneda,La Moneda,0,Estación Operativa,2025-10-13 09:30:02.995357
L1,universidad-de-chile,Universidad de Chile,0,Estación Operativa,2025-10-13 09:30:02.995358
L1,santa-lucia,Santa Lucía,0,Estación Operativa,2025-10-13 09:30:02.995359
L1,universidad-catolica,Universidad Católica,0,Estación Operativa,2025-10-13 09:30:02.995360
L1,baquedano,Baquedano,0,Estación Operativa,2025-10-13 09:30:02.995361
L1,salvador,Salvador,0,Estación Operativa,2025-10-13 09:30:02.995362
L1,manuel-montt,Manuel Montt,0,Estación Operativa,2025-10-13 09:30:02.995363
L1,pedro-de-valdivia,Pedro de Valdivia,0,Estación Operativa,2025-10-13 09:30:02.995366
L1,los-leones,Los Leones,0,Estación Operativa,2025-10-13 09:30:02.995368
L1,tobalaba,Tobalaba,0,Estación Operativa,2025-10-13 09:30:02.995369
L1,el-golf,El Golf,0,Estación Operativa,2025-10-13 09:30:02.995370
L1,alcantara,Alcántara,0,Estación Operativa,2025-10-13 09:30:02.995371
L1,escuela-militar,Escuela Militar,0,Estación Operativa,2025-10-13 09:30:02.995372
L1,manquehue,Manquehue,0,Estación Operativa,2025-10-13 09:30:02.995373
L1,hernando-de-magallanes,Hernando de Magallanes,0,Estación Operativa,2025-10-13 09:30:02.995374
L1,los-dominicos,Los Dominicos,0,Estación Operativa,2025-10-13 09:30:02.995375
L2,vespucio-norte,Vespucio Norte,0,Estación Operativa,2025-10-13 09:30:02.995386
L2,zapadores,Zapadores,0,Estación Operativa,2025-10-13 09:30:02.995387
L2,dorsal,Dorsal,0,Estación Operativa,2025-10-13 09:30:02.995388
L2,einstein,Einstein,0,Estación Operativa,2025-10-13 09:30:02.995389
L2,cementerios,Cementerios,0,Estación Operativa,2025-10-13 09:30:02.995390
