line_id,station_id,name,status_code,status_description,date
L1,san-pablo,San Pablo,0,Estación Operativa,2025-10-19 07:30:03.785759
L1,neptuno,Neptuno,0,Estación Operativa,2025-10-19 07:30:03.785765
L1,pajaritos,Pajaritos,0,Estación Operativa,2025-10-19 07:30:03.785767
L1,las-rejas,Las Rejas,0,Estación Operativa,2025-10-19 07:30:03.785768
L1,ecuador,Ecuador,0,Estación Operativa,2025-10-19 07:30:03.785770
L1,san-alberto-hurtado,San Alberto Hurtado,0,Estación Operativa,2025-10-19 07:30:03.785771
L1,universidad-de-santiago,Universidad de Santiago,0,Estación Operativa,2025-10-19 07:30:03.785772
L1,estacion-central,Estación Central,0,Estación Operativa,2025-10-19 07:30:03.785773
L1,u-l-a,U.L.A.,0,Estación Operativa,2025-10-19 07:30:03.785775
L1,republica,República,0,Estación Operativa,2025-10-19 07:30:03.785776
L1,los-heroes,Los Héroes,0,Estación Operativa,2025-10-19 07:30:03.785777
L1,la-moneda,La Moneda,0,Estación Operativa,2025-10-19 07:30:03.785778
L1,universidad-de-chile,Universidad de Chile,0,Estación Operativa,2025-10-19 07:30:03.785779
L1,santa-lucia,Santa Lucía,0,Estación Operativa,2025-10-19 07:30:03.785780
L1,universidad-catolica,Universidad Católica,1,Estación Temporalmente Cerrada,2025-10-19 07:30:03.785781
L1,baquedano,Baquedano,0,Estación Operativa,2025-10-19 07:30:03.785782
L1,salvador,Salvador,0,Estación Operativa,2025-10-19 07:30:03.785783
L1,manuel-montt,Manuel Montt,0,Estación Operativa,2025-10-19 07:30:03.785785
L1,pedro-de-valdivia,Pedro de Valdivia,0,Estación Operativa,2025-10-19 07:30:03.785789
L1,los-leones,Los Leones,0,Estación Operativa,2025-10-19 07:30:03.785790
L1,tobalaba,Tobalaba,0,Estación Operativa,2025-10-19 07:30:03.785791
L1,el-golf,El Golf,0,Estación Operativa,2025-10-19 07:30:03.785792
L1,alcantara,Alcántara,0,Estación Operativa,2025-10-19 07:30:03.785793
L1,escuela-militar,Escuela Militar,0,Estación Operativa,2025-10-19 07:30:03.785795
L1,manquehue,Manquehue,0,Estación Operativa,2025-10-19 07:30:03.785796
L1,hernando-de-magallanes,Hernando de Magallanes,0,Estación Operativa,2025-10-19 07:30:03.785797
L1,los-dominicos,Los Dominicos,0,Estación Operativa,2025-10-19 07:30:03.785800
L2,vespucio-norte,Vespucio Norte,0,Estación Operativa,2025-10-19 07:30:03.785812
L2,zapadores,Zapadores,0,Estación Operativa,2025-10-19 07:30:03.785813
L2,dorsal,Dorsal,0,Estación Operativa,2025-10-19 07:30:03.785814
L2,einstein,Einstein,0,Estación Operativa,2025-10-19 07:30:03.785815
L2,cementerios,Cementerios,0,Estación Operativa,2025-10-19 07:30:03.785816
L2,cerro-blanco,Cerro Blanco,0,Estación Operativa,2025-10-19 07:30:03.785817
L2,patronato,Patronato,0,Estación Operativa,2025-10-19 07:30:03.785819
L2,puente-cal-y-canto,Puente Cal y Canto,0,Estación Operativa,2025-10-19 07:30:03.785820
L2,santa-ana,Santa Ana,0,Estación Operativa,2025-10-19 07:30:03.785821
L2,los-heroes,Los Héroes,0,Estación Operativa,2025-10-19 07:30:03.785822
L2,toesca,Toesca,0,Estación Operativa,2025-10-19 07:30:03.785825
L2,parque-ohiggins,Parque O'Higgins,0,Estación Operativa,2025-10-19 07:30:03.785826
L2,rondizzoni,Rondizzoni,0,Estación Operativa,2025-10-19 07:30:03.785827
L2,franklin,Franklin,0,Estación Operativa,2025-10-19 07:30:03.785828
L2,el-llano,El Llano,0,Estación Operativa,2025-10-19 07:30:03.785830
L2,san-miguel,San Miguel,0,Estación Operativa,2025-10-19 07:30:03.785831
L2,lo-vial,Lo Vial,0,Estación Operativa,2025-10-19 07:30:03.785832
